woord,frequency
the,502
of,307
and,260
to,252
you,196
i,195
a,170
for,157
in,146
is,124
my,114
will,111
this,110
chorus,106
not,105
by,77
have,77
from,76
that,75
with,73
your,68
as,61
he,55
his,54
who,53
but,53
it,52
on,52
me,52
are,48
be,48
athena,44
do,43
land,42
him,40
no,39
apollo,37
at,32
man,32
what,32
orestes,31
gods,30
so,30
all,29
if,27
city,27
them,26
an,26
or,26
earth,24
has,24
these,24
blood,24
come,24
her,23
mother,23
zeus,23
may,23
now,23
their,23
we,23
one,23
she,22
they,22
am,22
our,22
was,21
then,21
mortals,21
honor,19
say,19
here,18
people,18
there,18
house,18
over,17
when,17
case,17
after,16
since,16
how,16
great,15
father,15
where,15
let,15
other,15
hear,15
out,15
without,15
time,15
those,14
things,14
among,13
pallas,13
heart,13
god,13
see,13
ancient,13
under,13
down,13
life,13
good,13
us,13
such,13
give,12
way,12
just,12
never,12
shall,12
been,12
away,12
murder,12
cast,12
citizens,12
children,11
like,11
its,11
suppliant,11
even,11
killed,11
justice,11
win,11
home,11
return,11
take,10
death,10
any,10
hands,10
yet,10
men,10
does,10
night,10
oh,10
would,10
first,9
before,9
,9
speak,9
bring,9
nor,9
furies,9
go,9
know,9
clytaemestra,9
beneath,9
office,9
oath,9
goddess,9
than,8
woman,8
women,8
sanctuary,8
near,8
evil,8
hold,8
image,8
mothers,8
ghost,8
although,8
up,8
many,8
cause,8
alas,8
pollution,8
against,8
yes,8
dishonor,8
anger,8
place,7
child,7
loxias,7
words,7
upon,7
enter,7
live,7
drive,7
too,7
fear,7
because,7
fate,7
harm,7
part,7
very,7
respect,7
about,7
mortal,7
more,7
judgment,7
did,7
matter,7
decide,7
fathers,7
farewell,7
prophet,6
seat,6
force,6
gave,6
tell,6
old,6
nothing,6
can,6
once,6
judges,6
release,6
right,6
sleep,6
need,6
dishonored,6
suffered,6
foot,6
gone,6
indeed,6
speech,6
stranger,6
wrath,6
trial,6
must,6
whether,6
bloodshed,6
which,6
make,6
both,6
venom,6
new,6
vote,6
ballots,6
blessings,6
escort,6
mine,5
came,5
reverence,5
throne,5
honored,5
ever,5
call,5
far,5
turn,5
eyes,5
back,5
cannot,5
were,5
either,5
black,5
drops,5
homes,5
company,5
end,5
always,5
soon,5
learn,5
also,5
power,5
truly,5
dead,5
most,5
angry,5
mind,5
goddesses,5
friends,5
fresh,5
still,5
much,5
cruel,5
younger,5
wholly,5
distress,5
free,5
forth,5
whole,5
deed,5
through,5
husband,5
called,5
purification,5
lady,5
command,5
again,5
hard,5
while,5
birth,5
speeding,5
surely,5
justly,5
witness,5
every,5
aloud,5
wisdom,5
appointed,5
honors,5
rage,5
oracular,4
another,4
gift,4
name,4
lord,4
made,4
stands,4
temple,4
war,4
upright,4
limbs,4
some,4
creatures,4
feast,4
hateful,4
into,4
powerful,4
himself,4
stand,4
hermes,4
enemies,4
whom,4
sea,4
sit,4
persuaded,4
watch,4
behalf,4
matricide,4
clear,4
hearth,4
awake,4
moan,4
get,4
catch,4
look,4
doing,4
send,4
terrible,4
family,4
approach,4
long,4
should,4
yourself,4
oracle,4
kill,4
greater,4
receive,4
kindly,4
hand,4
flight,4
possible,4
dear,4
having,4
pure,4
plain,4
neither,4
joy,4
victim,4
song,4
seeing,4
strong,4
ruin,4
remains,4
light,4
awe,4
given,4
heard,4
victory,4
straight,4
sacred,4
fail,4
laws,4
future,4
cry,4
matters,4
happiness,4
decided,4
bringing,4
could,4
might,4
ares,4
accomplish,4
destroys,4
processional,4
phoebus,3
region,3
escorted,3
mighty,3
beginning,3
worship,3
held,3
streams,3
strength,3
allow,3
fortune,3
overcome,3
rather,3
inner,3
defiled,3
drawn,3
clearly,3
band,3
seated,3
thrones,3
off,3
afterwards,3
master,3
asleep,3
guardian,3
born,3
escape,3
beyond,3
find,3
wrong,3
same,3
reproach,3
kin,3
dream,3
invoke,3
murderer,3
destroyed,3
leaves,3
breath,3
vain,3
unbearable,3
ridden,3
divinities,3
parent,3
struck,3
destroying,3
law,3
set,3
young,3
destruction,3
seed,3
form,3
inflict,3
done,3
directed,3
ones,3
assigned,3
yours,3
marriage,3
ordained,3
taking,3
pursue,3
aid,3
wretch,3
unclean,3
already,3
alike,3
keep,3
ground,3
living,3
drink,3
parents,3
argive,3
waters,3
athenas,3
below,3
answer,3
hymn,3
spell,3
bind,3
declare,3
allotted,3
o,3
soul,3
share,3
common,3
robes,3
chosen,3
houses,3
seizes,3
someone,3
establish,3
heavily,3
falling,3
darkness,3
deeds,3
path,3
forever,3
theseus,3
present,3
want,3
well,3
charge,3
worthy,3
rightly,3
responsible,3
course,3
stay,3
bound,3
tribunal,3
word,3
remain,3
advice,3
remedy,3
whose,3
favorable,3
dust,3
show,3
hill,3
counsel,3
righteous,3
burden,3
deprived,3
endure,3
blight,3
suffer,3
spirit,3
persuasion,3
tongue,3
fruit,3
breathing,3
fury,3
beloved,3
gain,3
offspring,3
deadly,3
priestess,2
pythian,2
prayer,2
highest,2
themis,2
third,2
phoebe,2
places,2
prophetic,2
delight,2
birds,2
fulfiller,2
best,2
hellenes,2
lot,2
prophesy,2
enters,2
brief,2
horrors,2
sent,2
shrine,2
saw,2
dripping,2
sword,2
shining,2
gorgons,2
forms,2
wingless,2
fit,2
seen,2
labor,2
concern,2
others,2
purifier,2
takes,2
centerstone,2
abandon,2
side,2
maidens,2
fallen,2
beast,2
olympian,2
grow,2
arms,2
charm,2
means,2
remember,2
overpower,2
true,2
sped,2
appears,2
aha,2
due,2
thus,2
disgrace,2
greatly,2
accused,2
nearest,2
divine,2
offerings,2
sacrificed,2
solemn,2
fire,2
hour,2
escaped,2
fawn,2
lightly,2
begins,2
move,2
whining,2
whine,2
continues,2
（moan）the,2
anything,2
hunting,2
prey,2
misery,2
spur,2
follow,2
wither,2
disappears,2
wake,2
painfully,2
lost,2
youth,2
godless,2
anyone,2
goad,2
own,2
urging,2
brings,2
leave,2
shot,2
mens,2
ruined,2
piteously,2
detested,2
loves,2
guilty,2
alone,2
mean,2
draw,2
vengeance,2
ordered,2
expiation,2
boast,2
privilege,2
pledges,2
claim,2
unjustly,2
trouble,2
cut,2
privileges,2
seeks,2
edge,2
keeping,2
struggles,2
pursuing,2
cowering,2
human,2
gives,2
everywhere,2
debt,2
defense,2
immortal,2
poured,2
alive,2
drag,2
pay,2
each,2
punishment,2
account,2
within,2
silent,2
sacrifices,2
story,2
mouth,2
spear,2
faithful,2
hears,2
altar,2
dance,2
stealthily,2
holds,2
whoever,2
sins,2
witnesses,2
proper,2
sacrificial,2
frenzied,2
maddened,2
tuned,2
lyre,2
withering,2
until,2
portion,2
overthrow,2
whenever,2
violence,2
raised,2
weaken,2
though,2
proud,2
leap,2
above,2
trip,2
swift,2
runners,2
unendurable,2
falls,2
dark,2
separated,2
sunless,2
fulfilment,2
meet,2
aegis,2
afar,2
possession,2
spears,2
had,2
won,2
wings,2
visitors,2
world,2
sitting,2
race,2
keen,2
only,2
act,2
teach,2
poor,2
fortunes,2
ixion,2
last,2
proof,2
flowing,2
commander,2
bath,2
exile,2
deny,2
judge,2
pass,2
lawful,2
quick,2
especially,2
rites,2
resentment,2
plague,2
support,2
loose,2
profitable,2
revere,2
approve,2
comes,2
profit,2
therefore,2
put,2
utterly,2
herald,2
crowd,2
everlasting,2
bear,2
advocate,2
myself,2
inform,2
oracles,2
blame,2
confidence,2
grave,2
why,2
testimony,2
explain,2
court,2
said,2
according,2
aged,2
spells,2
altars,2
correctly,2
plant,2
exist,2
cherish,2
jurors,2
waiting,2
arrange,2
hearts,2
realm,2
rise,2
ballot,2
older,2
fates,2
wine,2
duty,2
equal,2
savior,2
everything,2
guard,2
taken,2
unhappy,2
deeply,2
grief,2
infection,2
groan,2
mocked,2
ah,2
wrongs,2
daughters,2
mourning,2
heavy,2
hurl,2
letting,2
cure,2
utter,2
shame,2
anguish,2
steals,2
breast,2
deceptions,2
fight,2
foreign,2
love,2
passion,2
accept,2
wind,2
kept,2
victorious,2
glorious,2
bright,2
guards,2
pray,2
zealously,2
ruinous,2
lead,2
dwellers,2
torches,2
refrain,2
inauspicious,2
echo,2
second,1
legend,1
tells,1
allotment,1
consent,1
titan,1
took,1
birthday,1
leaving,1
lakeand,1
ridge,1
delos,1
landed,1
shipfrequented,1
shores,1
dwelling,1
parnassus,1
hephaistosroadbuilders,1
taming,1
wildness,1
untamed,1
arrival,1
delphus,1
helmsman,1
celebration,1
inspired,1
skill,1
established,1
fourth,1
spokesman,1
nymphs,1
corycianrock,1
hollow,1
haunt,1
bromius,1
forget,1
led,1
bacchantes,1
contrived,1
pentheus,1
hunted,1
hare,1
pleistus,1
poseidon,1
prophetess,1
better,1
previous,1
entrances,1
custom,1
leadsshe,1
interval,1
returns,1
terrorstricken,1
walk,1
running,1
knees,1
quickness,1
fright,1
decked,1
wreaths,1
centerstonea,1
occupying,1
suppliants,1
olivebranch,1
top,1
tree,1
decorously,1
crowned,1
large,1
tuft,1
wool,1
fleece,1
extraordinary,1
slept,1
compare,1
painting,1
carrying,1
phineus,1
appearance,1
altogether,1
disgusting,1
snore,1
repulsive,1
breaths,1
drip,1
attire,1
statues,1
tribe,1
produced,1
boasts,1
rearing,1
brood,1
impunity,1
grieve,1
healing,1
reader,1
portents,1
homesexit,1
interior,1
disclosed,1
beside,1
background,1
close,1
removed,1
gentle,1
mad,1
loathsome,1
mingles,1
gloom,1
tartarus,1
nevertheless,1
cowardly,1
wanderers,1
tread,1
across,1
wide,1
mainland,1
island,1
cities,1
weary,1
brooding,1
speeches,1
persuasive,1
completely,1
labors,1
neglectful,1
assured,1
brother,1
guideshepherding,1
respects,1
outlaws,1
towards,1
escortexit,1
departs,1
sleepers,1
cease,1
wander,1
cruelly,1
slaughtered,1
gashes,1
sleeping,1
vision,1
daytime,1
unforeseeable,1
lapped,1
wineless,1
libations,1
sober,1
appeasement,1
banquets,1
unshared,1
trampled,1
middle,1
snares,1
rushed,1
mocking,1
plead,1
consciousness,1
underworld,1
（whine）the,1
uneasily,1
uttering,1
sound,1
fled,1
（whine）,1
drowsy,1
pity,1
suffering,1
drowse,1
destiny,1
toil,1
effective,1
conspirators,1
dreadful,1
dragoness,1
redoubled,1
intensified,1
sharp,1
barking,1
dog,1
keenness,1
work,1
fatigue,1
ignore,1
softened,1
sting,1
merited,1
reproaches,1
becomes,1
rightminded,1
gust,1
bloody,1
shrivel,1
vapor,1
guts,1
pursuitthe,1
roused,1
leader,1
shake,1
beginningis,1
nets,1
become,1
thief,1
showing,1
stolen,1
coming,1
charioteer,1
tight,1
vitals,1
feel,1
chill,1
executioners,1
scourge,1
rule,1
head,1
stained,1
bidding,1
caused,1
allotments,1
decay,1
escapes,1
acquire,1
avenger,1
order,1
winged,1
glistening,1
snake,1
golden,1
bowstring,1
foam,1
vomiting,1
clots,1
drained,1
punishments,1
beheading,1
gouging,1
cutting,1
throats,1
virility,1
mutilation,1
stoning,1
impaled,1
spine,1
sort,1
fashion,1
sets,1
den,1
blooddrinking,1
lion,1
goats,1
herdsman,1
flock,1
reply,1
partially,1
length,1
exact,1
agreed,1
rebuke,1
fine,1
matricides,1
wife,1
kills,1
relative,1
hera,1
cypris,1
aside,1
argument,1
dearest,1
guarded,1
lenient,1
punish,1
visit,1
banish,1
acting,1
leniently,1
oversee,1
pleadings,1
short,1
leads,1
hunt,1
exeunt,1
rescue,1
intentionally,1
himenters,1
scene,1
changes,1
athens,1
embraces,1
accursed,1
guilts,1
blunted,1
worn,1
travelled,1
paths,1
going,1
commands,1
await,1
result,1
dispersedly,1
trail,1
scent,1
sign,1
hints,1
voiceless,1
informer,1
hound,1
tracks,1
wounded,1
track,1
lungs,1
pant,1
tiring,1
roamed,1
slower,1
ship,1
somewhere,1
smell,1
smiling,1
welcome,1
secret,1
unpaid,1
twisted,1
around,1
wishes,1
tried,1
recover,1
liquid,1
suck,1
red,1
feed,1
gruesome,1
atonement,1
murdered,1
agony,1
sinned,1
honoring,1
hades,1
holding,1
observes,1
inscribes,1
taught,1
rituals,1
equally,1
wise,1
teacher,1
slumbering,1
fading,1
washed,1
driven,1
purifying,1
swine,1
visited,1
association,1
purges,1
aging,1
piously,1
allies,1
libyan,1
triton,1
native,1
stream,1
action,1
rest,1
aiding,1
bold,1
marshal,1
surveying,1
phlegraean,1
deliverer,1
save,1
perishing,1
abandoned,1
knowing,1
bloodless,1
shadow,1
scorn,1
fattened,1
consecrated,1
slain,1
join,1
resolved,1
display,1
hated,1
party,1
directs,1
affairs,1
clean,1
unharmed,1
hides,1
bloodstained,1
avengers,1
appear,1
presenting,1
ourselves,1
retribution,1
blind,1
letos,1
son,1
dishonors,1
snatching,1
relentless,1
spun,1
securely,1
rash,1
murders,1
freedom,1
mindthe,1
white,1
ceremonial,1
eager,1
cares,1
exemption,1
concerns,1
considered,1
blooddripping,1
unworthy,1
council,1
thoughts,1
sky,1
waste,1
dwindle,1
attack,1
vindictive,1
feet,1
senseless,1
folly,1
hovers,1
mournful,1
rumor,1
speaks,1
mist,1
skilled,1
plotting,1
execution,1
revered,1
appease,1
rights,1
makes,1
rough,1
dimsighted,1
dread,1
perfect,1
wearing,1
summons,1
scamander,1
leaders,1
chiefs,1
achaeans,1
spoil,1
choice,1
sons,1
tireless,1
rustling,1
folds,1
yoking,1
chariot,1
colts,1
prime,1
strange,1
afraid,1
wonder,1
address,1
resembling,1
ill,1
neighbor,1
blameless,1
aloof,1
daughter,1
eternal,1
curses,1
names,1
understand,1
murderers,1
killer,1
absent,1
unknown,1
shrieks,1
thought,1
compulsions,1
someones,1
compel,1
two,1
parties,1
half,1
subtleties,1
oaths,1
injustice,1
question,1
decision,1
parentage,1
country,1
defend,1
relying,1
clinging,1
anxiety,1
shedding,1
barred,1
sprinkled,1
newborn,1
purify,1
purified,1
victims,1
inquire,1
agamemnon,1
naval,1
forces,1
along,1
troy,1
ilion,1
die,1
nobly,1
blackhearted,1
covered,1
crafty,1
snare,1
penalty,1
dearlyloved,1
together,1
threatened,1
pains,1
acted,1
whatever,1
happens,1
content,1
thinks,1
cases,1
followed,1
fully,1
performed,1
harmless,1
permit,1
dismissed,1
fall,1
intolerable,1
perpetual,1
disaster,1
perplexity,1
select,1
homicide,1
summon,1
proofs,1
sworn,1
evidence,1
pronounce,1
contrary,1
exit,1
overturning,1
wrongful,1
triumph,1
accustom,1
recklessness,1
sorrowful,1
wounds,1
truth,1
wait,1
anticipates,1
neighbors,1
evils,1
ask,1
hardship,1
decrease,1
offers,1
consolation,1
uncertain,1
remedies,1
misfortune,1
appeal,1
perhaps,1
sorrow,1
ought,1
strain,1
train,1
lawless,1
subject,1
tyrant,1
grants,1
moderation,1
oversees,1
different,1
ways,1
timely,1
arrogance,1
impiety,1
health,1
prayed,1
looking,1
spurning,1
owed,1
regard,1
attentions,1
paid,1
guests,1
welcomed,1
willingly,1
compulsion,1
lack,1
boldly,1
transgresses,1
amassing,1
heap,1
strike,1
sail,1
yardarm,1
splintered,1
calls,1
midst,1
whirling,1
laughs,1
hotheaded,1
boasted,1
happen,1
exhausted,1
unable,1
surmount,1
cresting,1
wave,1
wrecks,1
earlier,1
reef,1
perishes,1
unwept,1
unseen,1
procession,1
jury,1
areopagus,1
removes,1
signal,1
restrain,1
piercing,1
tyrrhenian,1
trumpet,1
filled,1
shrill,1
blare,1
councilhall,1
filling,1
ordinances,1
learned,1
appellants,1
guest,1
accordance,1
prosecutor,1
speaking,1
briefly,1
questions,1
denial,1
three,1
wrestling,1
match,1
ours,1
however,1
stabbed,1
throat,1
jurys,1
catches,1
youll,1
differently,1
protection,1
twice,1
afflicted,1
murdering,1
lived,1
related,1
else,1
nurtured,1
belt,1
reject,1
kinship,1
justified,1
killing,1
lie,1
olympians,1
plea,1
obey,1
avenge,1
thing,1
noble,1
godgiven,1
scepter,1
rushing,1
arrows,1
amazon,1
received,1
expedition,1
success,1
expectation,1
stepping,1
threw,1
cloak,1
tent,1
fettered,1
embroidered,1
robe,1
told,1
majestic,1
fleet,1
described,1
whet,1
indignation,1
cronus,1
contradict,1
witnessesturning,1
monsters,1
loathed,1
undo,1
fetters,1
magic,1
arranges,1
turning,1
exercise,1
cost,1
acquittal,1
argos,1
public,1
use,1
rite,1
brotherhoods,1
nurse,1
newlysown,1
embryo,1
mounts,1
whereas,1
preserves,1
nursed,1
womb,1
ally,1
faith,1
later,1
generations,1
assume,1
enough,1
honest,1
bolt,1
youto,1
blamed,1
ordinance,1
attica,1
aegeus,1
camp,1
amazons,1
army,1
days,1
built,1
citadel,1
lofty,1
towers,1
rival,1
rock,1
kinsman,1
day,1
themselves,1
pollute,1
stain,1
water,1
filth,1
anarchy,1
tyranny,1
fears,1
majesty,1
salvation,1
scythians,1
pelops,1
untouched,1
greed,1
prolonged,1
obligation,1
spoken,1
seats,1
during,1
following,1
altercation,1
unfulfilled,1
dispensing,1
prophecies,1
longer,1
mistaken,1
purposes,1
shed,1
argue,1
pheres,1
worshipper,1
dispensations,1
beguiled,1
spit,1
balloting,1
ended,1
ride,1
verdict,1
final,1
except,1
wholeheartedly,1
male,1
entirely,1
award,1
wins,1
urns,1
quickly,1
taskthe,1
turned,1
hanging,1
maintain,1
further,1
count,1
division,1
votes,1
error,1
source,1
single,1
housethe,1
shown,1
acquitted,1
numbers,1
casts,1
equalapollo,1
fatherland,1
lives,1
heritage,1
grace,1
accomplishes,1
saves,1
advocates,1
swear,1
captain,1
wellequipped,1
failure,1
making,1
marches,1
spiritless,1
journeys,1
illomened,1
violate,1
repent,1
enterprise,1
preserved,1
allied,1
welldisposed,1
struggle,1
none,1
safety,1
spearexit,1
lament,1
defeated,1
resulted,1
fairly,1
spoke,1
barrenness,1
savage,1
devour,1
promise,1
sacredly,1
cavernous,1
hearths,1
worshipped,1
excessive,1
past,1
rely,1
mention,1
keys,1
thunderbolt,1
sealed,1
yield,1
reckless,1
bearing,1
prosper,1
calm,1
waves,1
bitter,1
firstfruits,1
praise,1
wiser,1
understanding,1
forewarn,1
erechtheus,1
obtain,1
hosts,1
incentives,1
harmful,1
maddening,1
fighting,1
cocks,1
tribal,1
boldness,1
stint,1
glory,1
battling,1
choose,1
bestowing,1
receiving,1
tired,1
telling,1
able,1
banished,1
guardians,1
holy,1
sweetness,1
willing,1
unjust,1
full,1
pain,1
accepted,1
awaits,1
flourish,1
pledge,1
seems,1
advise,1
aim,1
heavens,1
gales,1
radiant,1
sunshine,1
grazing,1
beasts,1
flourishing,1
overflow,1
safe,1
prosperous,1
godly,1
gardener,1
sorrowpointing,1
audience,1
contests,1
omnipotent,1
fortress,1
ornament,1
hellas,1
prophecy,1
gleam,1
sun,1
spring,1
plenty,1
installing,1
please,1
found,1
grievous,1
blows,1
silence,1
levels,1
loud,1
boasting,1
hurtful,1
blow,1
trees,1
favor,1
burning,1
heat,1
stealing,1
buds,1
plants,1
border,1
nurture,1
thriving,1
flocks,1
twin,1
rich,1
produce,1
lucky,1
erinys,1
deathless,1
dealings,1
mankind,1
visibly,1
perfectly,1
giving,1
songs,1
dim,1
tears,1
forbid,1
untimely,1
grant,1
lovely,1
rightful,1
sisters,1
distribute,1
visitations,1
