woord,frequency
the,627
to,355
and,333
of,313
you,296
i,291
a,220
for,207
my,202
in,188
is,162
electra,161
your,156
orestes,144
he,123
that,117
have,111
but,104
not,103
this,103
man,100
it,98
from,93
with,92
his,87
me,82
will,80
are,78
as,76
who,74
old,71
her,69
if,66
house,61
at,59
by,59
one,58
what,58
was,55
on,54
come,54
do,54
when,49
be,49
father,49
she,48
chorus,41
mother,40
no,40
husband,39
then,38
am,38
go,37
now,36
so,36
has,36
him,35
aegisthus,32
fathers,32
they,32
an,31
see,31
may,31
out,31
or,31
these,30
gods,30
we,29
how,29
up,28
were,28
their,28
had,27
home,27
brother,27
would,25
there,25
did,24
know,24
well,24
us,24
o,23
must,23
our,23
all,23
,23
clytemnestra,22
killed,22
child,22
land,21
which,21
son,21
shall,21
city,20
friends,20
where,20
some,19
let,19
why,19
does,19
them,19
once,18
whom,18
kill,18
into,18
things,18
give,18
own,18
before,17
those,17
children,17
blood,17
over,17
take,17
peasant,16
hand,16
good,16
day,16
leader,16
hear,16
said,16
marriage,15
murder,15
unhappy,15
yes,15
troy,14
here,14
wife,14
daughter,14
away,14
time,14
pylades,14
say,14
same,14
way,14
woman,14
dead,13
gave,13
fear,13
birth,13
right,13
ah,13
zeus,13
mothers,13
than,13
hut,12
argos,12
set,12
many,12
bring,12
might,12
even,12
while,12
sister,12
head,12
fortune,12
hair,12
back,12
oh,12
death,12
dioskouroi,12
agamemnon,11
about,11
great,11
such,11
still,11
since,11
tell,11
most,11
god,11
down,11
long,11
speak,11
sacrifice,11
body,11
stranger,11
make,11
any,10
noble,10
heart,10
poor,10
bed,10
though,10
brought,10
within,10
first,10
men,10
off,10
two,10
think,10
strangers,10
alive,10
also,10
both,10
words,10
hands,10
having,9
should,9
exile,9
its,9
ever,9
foot,9
against,9
last,9
slaves,9
yet,9
women,9
want,9
bringing,9
comes,9
love,9
only,9
eyes,9
just,8
after,8
agamemnons,8
tyndareus,8
die,8
although,8
never,8
work,8
hold,8
mortals,8
find,8
can,8
among,8
dreadful,8
going,8
step,8
alas,8
earth,8
face,8
sword,8
could,8
saw,8
like,8
look,8
servants,8
been,8
dear,8
took,8
young,7
bear,7
indeed,7
equal,7
called,7
return,7
far,7
more,7
coming,7
wish,7
always,7
argive,7
rule,7
another,7
life,7
bitter,7
nor,7
dance,7
enemies,7
myself,7
mans,7
phoebus,7
near,7
welcome,7
perhaps,7
pity,7
sons,7
turn,7
destroyed,7
something,7
attendants,7
guests,7
went,7
messenger,7
murderer,7
unholy,7
justice,7
corpse,7
streams,6
famous,6
came,6
left,6
servant,6
hellas,6
gold,6
golden,6
cast,6
please,6
other,6
being,6
cut,6
altar,6
walls,6
learn,6
place,6
dearest,6
tears,6
better,6
surely,6
shameful,6
grave,6
report,6
wealth,6
ready,6
heard,6
done,6
too,6
feast,6
given,6
hate,6
country,5
alone,5
least,5
blame,5
wretched,5
touch,5
enters,5
water,5
night,5
because,5
show,5
forth,5
friend,5
looking,5
longer,5
clearly,5
sight,5
word,5
matter,5
citizens,5
aloud,5
axe,5
live,5
helen,5
others,5
yours,5
best,5
goes,5
worthy,5
mine,5
wise,5
troubles,5
stand,5
light,5
hope,5
rightly,5
leave,5
made,5
holy,5
nymphs,5
someone,5
robe,5
dont,5
clear,5
thing,5
again,5
suffered,5
through,5
contest,5
laid,5
knife,5
ones,5
save,5
ships,4
high,4
died,4
thyestes,4
secretly,4
lord,4
anyone,4
family,4
judgment,4
virgin,4
born,4
fool,4
girl,4
mind,4
himself,4
stars,4
bearing,4
share,4
keep,4
without,4
hard,4
enter,4
tomb,4
lock,4
lives,4
receive,4
onward,4
bore,4
pain,4
lament,4
household,4
pitiable,4
bloodshed,4
under,4
beside,4
very,4
mycenae,4
argives,4
adornment,4
taken,4
clothes,4
prayers,4
ago,4
living,4
miserably,4
makes,4
along,4
apollo,4
drawn,4
reward,4
message,4
close,4
insult,4
present,4
part,4
chariot,4
calling,4
sees,4
believe,4
nature,4
nothing,4
evil,4
joy,4
really,4
small,4
holding,4
horses,4
upon,4
bloody,4
held,4
arms,4
putting,4
ground,4
saying,4
fall,4
victorious,4
thought,4
slaughter,4
whole,4
blessed,4
sun,4
brothers,4
fate,4
ancient,3
king,3
ilium,3
spoils,3
stole,3
avenge,3
cruel,3
powerless,3
power,3
knows,3
ashamed,3
rank,3
whoever,3
carrying,3
pitcher,3
black,3
rivers,3
send,3
laments,3
deadly,3
sake,3
fields,3
honored,3
suffering,3
murderers,3
sheep,3
escape,3
recognize,3
joined,3
dawn,3
bright,3
aside,3
path,3
slave,3
little,3
weeping,3
hated,3
hades,3
leaving,3
put,3
cry,3
wail,3
song,3
dying,3
net,3
rustic,3
maidens,3
care,3
mighty,3
favor,3
wandering,3
cause,3
towards,3
soon,3
news,3
happy,3
married,3
dared,3
understand,3
absent,3
endure,3
talk,3
isnt,3
found,3
story,3
penalty,3
town,3
roof,3
castor,3
