woord,frequency
the,651
to,373
of,368
i,339
and,325
you,324
is,241
my,223
a,191
in,185
that,183
your,170
for,163
it,143
not,133
this,132
have,120
me,117
but,110
by,108
what,106
with,103
her,87
from,83
are,82
hippolytus,80
be,78
no,75
chorus,69
theseus,68
nurse,67
will,66
shall,64
he,63
do,62
as,61
phaedra,61
am,58
his,56
was,55
who,53
all,52
if,52
how,52
she,51
one,50
house,48
has,47
on,43
man,43
so,42
at,42
or,41
oh,41
gods,40
father,40
their,39
life,37
we,37
words,36
leader,36
more,36
may,35
would,34
o,33
son,32
know,32
him,31
aphrodite,30
land,29
when,29
good,29
these,28
there,28
they,27
see,27
men,27
woman,26
love,26
some,26
them,26
out,26
upon,26
artemis,25
than,25
come,25
now,25
unhappy,25
take,24
then,24
into,23
say,23
great,22
things,22
too,22
over,22
against,21
why,21
should,21
yet,21
heart,21
an,21
mortals,20
never,20
women,20
death,20
hand,19
wife,18
die,18
hear,18
pain,18
those,17
look,17
since,17
servants,17
where,17
servant,17
had,17
earth,17
make,17
long,16
though,16
misfortune,16
its,16
palace,16
mind,16
tell,16
alas,16
were,16
our,16
did,16
such,15
go,15
horses,15
can,15
thing,15
up,15
been,15
well,14
let,14
us,14
about,14
here,14
pleasure,14
must,14
body,14
grief,14
yourself,14
could,14
dead,14
light,13
way,13
sung,13
zeus,13
child,13
destroyed,13
among,12
thoughts,12
fathers,12
before,12
poor,12
lady,12
very,12
which,12
forth,12
head,12
friends,12
sea,11
think,11
bed,11
nothing,11
god,11
eisodos,11
most,11
made,11
just,11
like,11
down,11
being,11
misfortunes,11
might,11
another,11
time,11
many,11
even,11
name,11
fate,11
disaster,11
brought,11
goddess,10
daughter,10
ever,10
day,10
came,10
malady,10
face,10
other,10
right,10
either,10
heard,10
messenger,10
holy,9
young,9
killed,9
off,9
leave,9
does,9
makes,9
dear,9
speak,9
lord,9
word,9
wish,9
under,9
mother,9
wretched,9
while,9
hold,9
bear,9
done,9
comes,9
still,9
within,9
trozen,8
noble,8
stand,8
enter,8
far,8
through,8
rather,8
voice,8
sense,8
chariot,8
give,8
queen,8
someone,8
put,8
find,8
mean,8
again,8
silent,8
sons,8
gone,8
evil,8
fear,8
speech,8
nor,8
near,8
high,7
heaven,7
honor,7
mortal,7
after,7
exile,7
point,7
end,7
prayer,7
set,7
place,7
bring,7
base,7
yes,7
tongue,7
first,7
mouth,7
mistress,7
troubles,7
second,7
trouble,7
yours,7
past,7
utter,7
luckless,7
tears,7
eyes,7
shame,7
best,7
two,7
wrong,7
witness,7
ought,7
beg,7
hands,7
sight,7
once,7
live,7
farewell,7
clear,7
possess,7
gave,7
athens,7
fine,7
destroy,7
get,7
any,7
oath,7
longer,7
shore,7
tablet,7
sun,6
lay,6
zeuss,6
wild,6
further,6
silence,6
curses,6
three,6
open,6
last,6
advice,6
friend,6
only,6
folly,6
found,6
back,6
ground,6
also,6
door,6
joy,6
myself,6
stroke,6
,6
something,6
save,6
own,6
learn,6
keep,6
mine,6
ah,6
chaste,6
pass,6
took,6
deeds,6
free,6
curse,6
dwell,5
truth,5
marriage,5
beasts,5
swift,5
feel,5
seized,5
means,5
poseidon,5
toil,5
follow,5
else,5
wise,5
whats,5
much,5
same,5
statue,5
stands,5
fortune,5
b,5
because,5
king,5
soul,5
wont,5
