woord,frequency
the,845
to,431
you,404
of,373
i,360
and,355
a,225
is,210
my,206
in,205
creusa,200
ion,200
your,168
for,154
not,142
he,142
that,136
it,129
me,125
have,125
from,123
what,122
with,120
this,109
but,106
are,98
will,96
be,92
who,88
do,82
one,74
was,71
by,71
god,70
she,69
if,69
tutor,69
as,66
his,64
xuthus,61
her,60
him,60
when,59
am,57
at,56
child,56
,53
or,53
has,52
son,52
mother,52
chorus,52
did,50
how,50
on,49
house,46
so,46
may,46
father,45
phoebus,44
no,43
come,42
where,42
we,41
were,41
an,40
now,40
o,39
out,39
then,38
would,37
gods,36
there,36
temple,34
go,34
which,33
know,33
here,32
see,32
before,30
they,29
kill,29
shall,29
leader,29
these,28
children,26
good,26
had,25
land,24
up,24
into,24
shrine,23
give,23
say,23
priestess,22
them,22
about,21
born,21
apollo,20
zeus,20
name,20
die,20
birth,19
brought,19
let,19
husband,19
city,18
all,18
life,18
fortune,18
does,18
unhappy,18
erechtheus,17
gave,17
their,17
some,17
those,17
oracle,17
lady,17
must,17
came,16
take,16
loxias,16
over,16
whom,16
speak,16
old,16
sung,16
time,15
daughter,15
woman,15
other,15
dear,15
stranger,15
silent,15
should,15
mistress,15
man,15
athens,14
bring,14
boy,14
might,14
holy,14
childless,14
first,14
earth,14
words,14
altar,14
ah,14
against,14
athena,14
well,14
arms,14
found,14
us,14
than,14
things,14
home,13
golden,13
nor,13
long,13
keep,13
wish,13
hear,13
find,13
said,13
bore,12
mortals,12
exposed,12
secret,12
forth,12
since,12
another,12
also,12
friends,12
yes,12
men,12
why,12
death,12
delphi,11
pallas,11
pleasure,11
around,11
never,11
new,11
mind,11
tell,11
right,11
away,10
called,10
two,10
left,10
way,10
sacred,10
been,10
birds,10
without,10
leave,10
fortunate,10
own,10
want,10
noble,10
alas,10
could,10
longer,10
being,10
while,10
once,10
cave,9
cast,9
day,9
only,9
our,9
look,9
both,9
full,9
live,9
after,9
more,9
feast,9
fate,9
fear,9
given,9
sun,8
ancient,8
goddess,8
received,8
union,8
took,8
hold,8
though,8
laurel,8
leto,8
work,8
eyes,8
hands,8
most,8
tears,8
women,8
yours,8
sacrifice,8
wrong,8
misfortune,8
even,8
secretly,8
race,8
saying,8
tent,8
present,7
infant,7
cradle,7
set,7
beside,7
gold,7
rock,7
place,7
rest,7
honor,7
already,7
tripod,7
mortal,7
yet,7
ask,7
apollos,7
fathers,7
someone,7
alone,7
because,7
youth,7
breast,7
suffered,7
can,7
pain,7
master,7
hand,7
gone,7
put,7
attendant,7
enters,6
heaven,6
always,6
its,6
rocks,6
body,6
girl,6
seen,6
eager,6
married,6
oracular,6
learn,6
night,6
labor,6
making,6
drops,6
under,6
lovely,6
slave,6
blood,6
light,6
near,6
gorgon,6
bacchus,6
something,6
garlands,6
nothing,6
call,6
among,6
heard,6
hate,6
common,6
turn,6
like,6
any,6
unfortunate,6
back,6
think,6
public,6
either,6
absent,6
oracles,6
conceal,6
clear,6
cannot,6
bed,6
dead,6
thought,6
above,6
wife,6
share,6
oh,6
poison,6
hidden,6
cup,6
going,6
hermes,5
servant,5
throne,5
hellas,5
famous,5
such,5
serpents,5
daughters,5
made,5
enter,5
chariot,5
stars,5
delphian,5
water,5
harm,5
ashamed,5
whose,5
story,5
loom,5
battle,5
slaves,5
asking,5
vessel,5
mothers,5
hide,5
pythian,5
sake,5
else,5
happy,5
whole,5
perhaps,5
troubles,5
alive,5
killed,5
although,5
much,5
indeed,5
evil,5
willing,5
many,5
upon,5
ones,5
blessed,5
middle,5
wealth,5
ills,5
blame,5
banquet,5
dearest,5
escape,5
gift,5
down,5
joy,5
strange,5
worthy,5
wicked,5
together,5
sky,5
plots,5
rule,5
enemies,5
robe,5
done,5
tried,5
athenian,4
same,4
hollow,4
erichthonius,4
people,4
newborn,4
baby,4
babyclothes,4
mine,4
care,4
saw,4
dared,4
pity,4
war,4
joined,4
enemy,4
spear,4
native,4
comes,4
coming,4
receive,4
servants,4
pure,4
ground,4
bow,4
serve,4
nurtured,4
himself,4
paean,4
praise,4
cease,4
pour,4
strength,4
foot,4
off,4
bear,4
giants,4
sons,4
sanctuary,4
strangers,4
law,4
everything,4
masters,4
appearance,4
others,4
destroyed,4
power,4
thing,4
country,4
far,4
goes,4
died,4
citizen,4
knew,4
help,4
shame,4
suffer,4
wild,4
went,4
sorrow,4
draw,4
part,4
rightly,4
through,4
ever,4
just,4
save,4
ought,4
bad,4
neither,4
former,4
rape,4
seek,4
rather,4
dances,4
welcome,4
speaking,4
touch,4
met,4
make,4
meet,4
sweet,4
feel,4
slaughter,4
face,4
king,4
delight,4
guests,4
spoken,4
deprived,4
hopes,4
seat,4
lord,4
sight,4
favor,4
remain,4
silence,4
hymns,4
dreadful,4
dare,4
daring,4
murder,4
gives,4
end,4
bright,4
rays,4
wine,4
sit,4
great,3
forced,3
turned,3
macrai,3
round,3
earthborn,3
charge,3
brother,3
glorious,3
very,3
entrance,3
base,3
happened,3
raised,3
parents,3
young,3
nourished,3
trusted,3
marriage,3
aeolus,3
entering,3
kept,3
asia,3
throughout,3
gates,3
boughs,3
attendants,3
fire,3
myrtle,3
whatever,3
speech,3
sing,3
immortal,3
swift,3
service,3
parnassus,3
walls,3
lyre,3
course,3
offspring,3
halls,3
killing,3
mighty,3
creature,3
looking,3
shield,3
gorgons,3
outside,3
ascribe,3
further,3
family,3
benefit,3
maidens,3
true,3
leisure,3
sisters,3
saved,3
reason,3
foreigner,3
ally,3
taking,3
trophonius,3
prophecy,3
word,3
seem,3
altars,3
search,3
says,3
wretched,3
age,3
wronged,3
flight,3
unwilling,3
talk,3
rejoice,3
afraid,3
fall,3
better,3
chosen,3
victim,3
giving,3
advice,3
virgins,3
breed,3
temples,3
pleasures,3
crown,3
brings,3
pan,3
dance,3
beasts,3
bitter,3
begin,3
doing,3
driven,3
stop,3
get,3
try,3
isnt,3
astray,3
girls,3
known,3
matters,3
foreign,3
myself,3
bastard,3
wise,3
high,3
hostile,3
shared,3
whenever,3
love,3
table,3
seize,3
queen,3
cry,3
perish,3
holding,3
torches,3
leaps,3
mourning,3
aged,3
steps,3
grief,3
heart,3
apart,3
dedicated,3
persuaded,3
ago,3
wove,3
friend,3
last,3
sword,3
lost,3
preparing,3
reveal,3
still,3
contest,3
wished,3
beds,3
voice,3
cruel,3
again,3
hades,3
cover,3
stands,3
enough,3
viper,3
aegis,3
deadly,3
wear,3
second,3
sends,3
music,3
stoning,3
suppliant,3
creusas,3
flame,3
sides,3
means,3
cecrops,3
midst,3
libation,3
catch,3
concealed,3
unexpected,3
anything,3
olive,3
matter,3
central,2
north,2
hill,2
lords,2
unknown,2
bedded,2
circle,2
customs,2
ancestors,2
guard,2
aglauros,2
custom,2
rear,2
woven,2
placed,2
prophetic,2
harsh,2
intent,2
hurled,2
grew,2
manhood,2
delphians,2
treasures,2
lived,2
wave,2
euboea,2
driving,2
point,2
seems,2
cause,2
fated,2
adorn,2
cliffs,2
roof,2
sings,2
hellenes,2
cries,2
silver,2
mouth,2
moist,2
offerings,2
sweep,2
everflowing,2
along,2
suns,2
rules,2
eddies,2
forbid,2
approach,2
herald,2
wings,2
lake,2
obey,2
steep,2
singing,2
subject,2
appointed,2
guards,2
raising,2
torch,2
joins,2
winged,2
three,2
burning,2
staff,2
lawful,2
really,2
adorned,2
offer,2
sheep,2
sacrificed,2
understand,2
transgress,2
view,2
allowed,2
witness,2
whoever,2
wellborn,2
closed,2
cheeks,2
sorrowful,2
foolish,2
wonder,2
deeds,2
injustice,2
shot,2
arrow,2
concern,2
yourself,2
fatherland,2
marvel,2
truly,2
ancestor,2
show,2
opened,2
bloody,2
vain,2
makrai,2
deed,2
watery,2
athenians,2
wishes,2
borne,2
knows,2
lack,2
citys,2
offering,2
sold,2
wherever,2
milk,2
consider,2
support,2
womans,2
accomplish,2
knowledge,2
mans,2
doors,2
sign,2
passed,2
afterwards,2
wants,2
seated,2
interpreter,2
appeared,2
folly,2
goods,2
misfortunes,2
scarcely,2
prophet,2
lives,2
hated,2
mingled,2
begetting,2
answer,2
revered,2
within,2
lot,2
need,2
pray,2
hope,2
wholly,2
precinct,2
loves,2
pitchers,2
vessels,2
virtue,2
laws,2
handle,2
pay,2
penalty,2
empty,2
paying,2
thinking,2
badly,2
beseech,2
head,2
flying,2
celebrated,2
happiness,2
form,2
careful,2
moderate,2
seats,2
green,2
pipes,2
caves,2
maiden,2
claim,2
childlessness,2
sound,2
rushes,2
greet,2
stay,2
throw,2
mad,2
pledge,2
raise,2
happen,2
hosts,2
escaped,2
slavery,2
distrust,2
too,2
relationship,2
desire,2
scepter,2
rich,2
finding,2
burst,2
insignificant,2
rank,2
powerless,2
cities,2
bitterly,2
stand,2
looks,2
besides,2
growing,2
line,2
misery,2
crowd,2
free,2
listen,2
blessings,2
trouble,2
worthless,2
struck,2
road,2
lamented,2
send,2
pleasant,2
nature,2
righteous,2
equal,2
successful,2
occasion,2
mournful,2
please,2
treachery,2
clearly,2
fortunes,2
ruined,2
prosperity,2
friendly,2
dinner,2
slow,2
quick,2
shuttle,2
prosperous,2
cried,2
mourn,2
grown,2
encounter,2
rushed,2
fly,2
royal,2
bred,2
endure,2
begot,2
deceived,2
convicted,2
plans,2
act,2
respects,2
worse,2
soul,2
starry,2
hair,2
grasping,2
led,2
homage,2
aphrodite,2
announce,2
ear,2
lover,2
settle,2
weep,2
unwillingly,2
dont,2
truth,2
disease,2
cowardly,2
surely,2
state,2
cling,2
arm,2
swords,2
treacherous,2
coils,2
hang,2
use,2
bracelet,2
finish,2
libations,2
everyone,2
throat,2
ordered,2
action,2
piety,2
guide,2
moon,2
discordant,2
completed,2
punishment,2
contrivances,2
dionysos,2
fitted,2
towards,2
beams,2
feet,2
having,2
tapestries,2
spread,2
cloth,2
dedication,2
yoked,2
serpent,2
bowls,2
filled,2
zealous,2
actions,2
burned,2
incense,2
cups,2
revealed,2
doves,2
poured,2
beaks,2
drink,2
whirled,2
held,2
seized,2
declared,2
below,2
dark,2
fleeing,2
possible,2
gain,2
stepmothers,2
craft,2
certainly,2
intend,2
trying,2
wanted,2
europe,2
farewell,2
allow,2
dedicate,2
happens,2
tokens,2
weave,2
terrible,2
clothes,2
tells,2
tree,2
joyful,2
thoughts,2
past,2
changed,2
shore,2
rise,1
atlas,1
wears,1
bronze,1
shoulders,1
maia,1
chants,1
declaring,1
future,1
lance,1
beneath,1
attica,1
weight,1
womb,1
observant,1
erechthidae,1
ornaments,1
hung,1
asked,1
nativeborn,1
gratify,1
basket,1
opening,1
wreathed,1
rose,1
entered,1
marvelled,1
worked,1
played,1
guardian,1
steward,1
circumstances,1
chalcidians,1
efforts,1
drove,1
achaean,1
longing,1
forgetful,1
recognize,1
due,1
founder,1
greece,1
laurels,1
havehermes,1
