woord,frequency
the,555
to,396
i,382
you,382
and,360
of,343
a,203
your,195
my,194
is,180
that,163
in,161
for,161
have,158
not,148
with,130
me,130
children,121
medea,120
her,117
it,115
this,114
will,112
but,108
by,102
from,94
do,88
are,83
no,80
be,78
she,77
as,74
house,73
what,71
jason,68
them,62
on,61
shall,60
if,54
now,53
woman,52
am,52
at,51
all,51
their,50
has,49
who,48
his,48
how,47
so,46
may,44
they,43
when,40
land,39
into,39
he,39
was,37
or,35
go,35
aegeus,35
come,34
one,33
husband,31
gods,31
we,31
life,30
o,30
would,29
father,29
since,29
these,29
chorus,29
creon,28
then,27
an,27
hand,26
why,26
exile,25
must,25
up,24
man,24
some,24
well,24
can,23
more,23
than,23
mortals,23
never,22
say,22
nurse,21
most,21
know,21
give,21
words,21
take,21
own,20
tutor,20
before,20
had,19
good,19
see,19
our,19
any,19
marriage,19
death,19
think,19
heart,18
tell,18
out,18
him,18
bring,18
kill,17
friends,17
eisodos,17
were,17
yourself,17
first,16
eyes,16
new,16
there,16
many,16
been,15
old,15
over,15
did,15
chorusleader,15
such,15
upon,15
enter,14
way,14
even,14
poor,14
dear,14
put,14
wish,14
bride,14
oh,14
make,14
live,14
b,14
us,14
hands,13
royal,13
daughter,13
pain,13
nor,13
here,13
yet,13
misfortune,13
men,13
mother,13
those,13
enemies,13
killed,13
against,13
about,13
love,12
mistress,12
right,12
away,12
where,12
bed,12
find,12
home,12
could,12
friend,12
done,12
die,12
women,12
wife,12
another,12
city,12
though,12
which,12
made,12
time,11
turn,11
servants,11
unhappy,11
deed,11
things,11
yes,11
gave,11
gold,11
gifts,11
country,10
face,10
terrible,10
sons,10
like,10
speak,10
hear,10
wrath,10
god,10
zeus,10
day,10
ones,9
joy,9
others,9
because,9
far,9
whole,9
fathers,9
while,9
leave,9
too,9
wise,9
without,9
once,9
mind,9
need,9
myself,9
long,9
its,8
corinth,8
thus,8
cast,8
off,8
grief,8
great,8
does,8
still,8
much,8
whether,8
mortal,8
let,8
wretch,8
ah,8
harm,8
might,8
brought,8
other,8
very,8
stay,8
being,8
cannot,8
wretched,8
help,8
childrens,8
loved,7
sure,7
trouble,7
down,7
having,7
tears,7
thing,7
fear,7
greater,7
coming,7
thought,7
troubles,7
disaster,7
earth,7
nothing,7
said,7
beg,7
heard,7
hold,7
seen,7
mean,7
behind,7
light,7
only,7
ask,7
making,7
murder,7
gone,7
among,7
messenger,7
married,6
calls,6
oaths,6
return,6
ever,6
misfortunes,6
afraid,6
plan,6
sword,6
family,6
calamity,6
two,6
after,6
desire,6
cease,6
holy,6
head,6
mine,6
hateful,6
hate,6
often,6
better,6
angry,6
foolish,6
marriagebed,6
end,6
get,6
justice,6
birth,6
report,6
clever,6
suppliant,6
knees,6
already,6
pity,6
power,6
princess,6
exiled,6
punishment,6
beget,6
fate,6
dead,6
child,6
through,5
pelias,5
set,5
golden,5
match,5
aside,5
body,5
taking,5
sea,5
weep,5
abandoned,5
temper,5
bad,5
win,5
stand,5
feel,5
news,5
going,5
seems,5
kind,5
sake,5
nature,5
call,5
cry,5
longer,5
sun,5
should,5
honor,5
receive,5
further,5
look,5
bitter,5
suffered,5
wrong,5
goddess,5
quite,5
case,5
destroyed,5
best,5
outrage,5
until,5
ought,5
accept,5
every,5
helios,5
deeds,5
sex,5
oath,5
taken,5
kept,5
bearing,5
part,5
enemy,5
sent,5
raised,5
aloft,5
share,5
kin,5
send,5
bereft,5
utterly,5
gown,5
hair,5
blood,5
white,5
alas,5
touch,5
argo,4
forth,4
loves,4
abandoning,4
witness,4
learned,4
came,4
native,4
treatment,4
bridegroom,4
mothers,4
young,4
aged,4
fall,4
fool,4
keep,4
near,4
king,4
allow,4
peace,4
towards,4
certainly,4
just,4
gain,4
something,4
brings,4
within,4
miserable,4
anger,4
sight,4
passion,4
hard,4
ruin,4
fortune,4
name,4
perished,4
held,4
fast,4
chamber,4
rest,4
destruction,4
brother,4
human,4
song,4
raise,4
purpose,4
full,4
however,4
undone,4
want,4
basest,4
bodies,4
painful,4
husbands,4
goes,4
murderous,4
again,4
evil,4
event,4
illwill,4
lot,4
rulers,4
sense,4
attend,4
hostile,4
regard,4
plans,4
care,4
expect,4
feet,4
save,4
spoken,4
folly,4
corpses,4
try,4
fire,4
suppose,4
courage,4
become,4
talk,4
wanted,4
race,4
escape,4
benefit,4
happy,4
greek,4
aphrodite,4
show,4
brothers,4
greatest,4
back,4
given,4
wealth,4
gift,4
son,4
pleasure,4
diadem,4
dreadful,4
former,4
last,4
tender,4
place,4
raiment,4
entered,4
flesh,4
bury,4
lady,3
sailed,3
iolcus,3
daughters,3
herself,3
mighty,3
getting,3
wronged,3
ground,3
unless,3
thrust,3
minds,3
spare,3
enviable,3
true,3
curse,3
master,3
guilty,3
seeing,3
quickly,3
inside,3
exit,3
soon,3
lament,3
soul,3
check,3
sufferings,3
loud,3
accursed,3
rate,3
able,3
grow,3
advantage,3
servant,3
houses,3
holds,3
themis,3
suffer,3
bound,3
wrongs,3
mens,3
possible,3
sound,3
griefs,3
deaths,3
betrayed,3
fault,3
reputation,3
manner,3
although,3
struck,3
whom,3
comes,3
deal,3
company,3
same,3
brides,3
order,3
lost,3
arts,3
loss,3
run,3
wisdom,3
regards,3
plotting,3
trust,3
likewise,3
fatherland,3
forget,3
force,3
experience,3
,3
lay,3
possess,3
bridal,3
foes,3
wait,3
appears,3
open,3
none,3
smile,3
sprung,3
thoughts,3
womens,3
female,3
ancient,3
phoebus,3
else,3
reply,3
between,3
soil,3
driven,3
heaven,3
alive,3
ruling,3
always,3
kings,3
interests,3
anything,3
worst,3
insult,3
really,3
begin,3
speech,3
greeks,3
went,3
childless,3
surely,3
fine,3
flee,3
base,3
grant,3
point,3
second,3
doing,3
realize,3
word,3
unholy,3
cause,3
happiness,3
offspring,3
act,3
matters,3
indeed,3
pay,3
approve,3
swear,3
grandfather,3
lips,3
designs,3
poisons,3
next,3
bright,3
turned,3
behold,3
acts,3
pale,3
manhood,3
mourn,3
vain,3
sweet,3
yours,3
saw,3
farewell,3
twice,3
avenging,3
crown,3
borne,3
toil,3
chariot,3
door,2
skene,2
winged,2
colchis,2
darkblue,2
symplegades,2
pelion,2
command,2
fleece,2
smitten,2
persuaded,2
separated,2
citizens,2
himself,2
support,2
ruler,2
sworn,2
lies,2
neither,2
stone,2
takes,2
looking,2
（i,2
vitals,2
spread,2
dangerous,2
easy,2
boys,2
dwell,2
alone,2
ears,2
service,2
touches,2
ignorance,2
beginning,2
reached,2
knows,2
begrudge,2
beard,2
secret,2
sit,2
someone,2
countrys,2
story,2
tale,2
distress,2
savage,2
glance,2
meant,2
sorrows,2
stirring,2
feelings,2
approach,2
fierce,2
plain,2
source,2
stung,2
woe,2
subject,2
mood,2
fairest,2
tongue,2
beneficial,2
voice,2
soothed,2
shared,2
profit,2
wail,2
utters,2
pray,2
grieve,2
departed,2
shame,2
prayer,2
trifling,2
somehow,2
hers,2
persuade,2
songs,2
pleasant,2
lyre,2
zeuss,2
hellas,2
gateway,2
retiring,2
character,2
praise,2
causes,2
fellowcitizens,2
lack,2
blow,2
proved,2
creatures,2
breath,2
unfortunate,2
price,2
outcome,2
lifes,2
refuse,2
otherwise,2
male,2
gaze,2
person,2
free,2
three,2
times,2
battle,2
enjoyment,2
favor,2
means,2
punish,2
rage,2
sail,2
skilled,2
incur,2
later,2
common,2
hostility,2
sharer,2
object,2
opposite,2
commit,2
crimes,2
injustice,2
prosperity,2
superiors,2
soothing,2
listen,2
less,2
hottempered,2
keeps,2
speeches,2
resolve,2
fixed,2
remain,2
kneels,2
newlywedded,2
banish,2
entreat,2
showing,2
mistake,2
rises,2
protector,2
strangers,2
imagine,2
touched,2
permitted,2
ways,2
path,2
proceed,2
poison,2
secure,2
rescue,2
safety,2
helper,2
marriagealliance,2
contest,2
mockery,2
noble,2
understand,2
furthermore,2
streams,2
rivers,2
hymn,2
glorious,2
halls,2
found,2
calling,2
lucky,2
tried,2
