woord,frequency
the,4047
and,1860
of,1782
to,1380
in,856
they,733
a,714
that,701
he,679
this,541
was,535
is,532
it,529
for,462
from,423
his,395
by,374
as,369
their,362
but,360
them,352
had,347
with,331
when,307
not,307
all,273
i,268
were,265
are,262
him,259
at,246
who,230
which,224
on,216
have,191
be,186
there,186
these,183
so,180
then,179
one,160
egyptians,156
egypt,153
came,141
no,139
after,134
son,134
said,128
out,127
men,124
would,122
other,122
an,113
or,113
what,112
king,108
if,108
did,106
now,104
say,100
into,99
made,98
you,98
great,98
athenians,97
been,95
before,91
most,89
land,89
city,89
her,89
greeks,88
up,87
each,86
country,85
temple,84
man,83
many,82
about,81
than,80
those,80
do,79
first,78
will,78
some,76
come,76
time,76
where,75
two,74
she,73
called,73
me,72
hundred,72
has,69
its,69
over,67
brought,66
more,66
way,65
away,64
same,63
river,63
ships,63
people,62
kings,62
against,61
sea,61
nile,61
gods,60
themselves,57
day,56
such,56
my,56
could,56
any,56
own,56
make,55
himself,54
thus,54
sent,54
since,53
told,53
too,53
also,52
among,52
because,52
only,52
back,52
sacred,52
much,51
like,51
gave,50
three,50
feet,50
name,50
egyptian,49
set,49
took,48
put,48
miltiades,48
learned,47
even,47
years,46
women,46
how,46
rest,45
priests,44
went,44
others,43
ionians,42
story,42
place,42
off,42
amasis,42
whom,41
heard,41
stone,41
we,41
long,41
part,41
take,41
persians,41
saw,41
done,40
very,40
days,40
far,40
down,39
while,39
god,39
army,39
water,38
athens,38
through,38
should,38
oracle,38
darius,38
left,37
held,37
greek,36
being,36
except,36
asked,35
know,35
libya,35
until,35
cleomenes,35
give,34
cut,34
another,34
island,34
sacrifice,34
every,33
heracles,33
your,33
hellas,32
sparta,32
death,31
whose,31
let,31
thousand,31
go,31
body,31
near,30
head,30
town,30
happened,30
zeus,29
whole,29
lacedaemonians,29
miletus,29
lake,28
right,28
yet,28
following,28
night,28
pelasgians,28
sailed,28
demaratus,28
daughter,27
woman,27
children,27
both,27
memphis,27
once,27
seen,27
taken,27
image,27
later,27
aeginetans,27
histiaeus,27
psammetichus,26
things,26
think,26
why,26
live,26
given,26
around,26
having,26
upon,26
father,25
names,25
above,25
four,25
just,25
call,25
cities,25
reason,25
high,25
sons,25
built,25
next,25
already,24
carried,24
opinion,24
never,24
foreigners,24
hands,23
twelve,23
show,23
sun,23
phoenicians,23
well,23
precinct,23
chersonese,23
besides,22
bring,22
shall,22
see,22
twenty,22
saying,22
dionysus,22
carry,22
wife,22
argives,22
became,21
year,21
temples,21
between,21
end,21
alone,21
flows,21
together,21
may,21
concerning,21
stand,21
persian,21
helen,21
war,21
ariston,21
died,20
taking,20
speak,20
last,20
length,20
side,20
plain,20
again,20
birth,20
nor,20
dead,20
led,20
house,20
shrine,20
battle,20
places,19
course,19
can,19
making,19
does,19
though,19
without,19
court,19
athenian,19
found,18
hephaestus,18
line,18
under,18
six,18
either,18
work,18
cannot,18
spoke,18
reign,18
buried,18
attack,18
aegina,18
spartans,18
kept,17
tell,17
believe,17
fifty,17
beyond,17
myself,17
must,17
matter,17
according,17
therefore,17
fish,17
killed,17
fleet,17
money,17
apries,17
slaves,16
language,16
months,16
figures,16
still,16
miles,16
inland,16
mountains,16
asia,16
less,16
anything,16
comes,16
saïs,16
whether,16
whenever,16
keep,16
pan,16
building,16
mother,16
doing,16
caught,16
delphi,16
samians,16
generals,16
common,15
coming,15
,15
little,15
number,15
always,15
full,15
lands,15
none,15
half,15
parts,15
second,15
seeing,15
whatever,15
beasts,15
rule,15
priest,15
use,15
walls,15
knew,15
sesostris,15
good,15
fled,15
pyramid,15
ionian,15
thebes,14
five,14
used,14
voyage,14
itself,14
towards,14
elephantine,14
ten,14
especially,14
perseus,14
leave,14
ethiopia,14
moreover,14
matters,14
follows,14
opposite,14
wine,14
got,14
ionia,14
won,14
alexandrus,14
wealth,14
force,14
might,14
fell,14
cleisthenes,14
earth,13
am,13
fact,13
district,13
seven,13
journey,13
rivers,13
gulf,13
pyramids,13
delta,13
present,13
consider,13
mouth,13
eat,13
power,13
third,13
truth,13
driven,13
wind,13
boat,13
honor,13
return,13
coast,13
sacrifices,13
festival,13
intercourse,13
reached,13
talents,13
brother,13
burnt,13
proteus,13
milesians,13
artaphrenes,13
pisistratus,13
leutychides,13
marathon,13
human,12
agreed,12
wide,12
arabia,12
south,12
greatest,12
ship,12
height,12
winds,12
cause,12
within,12
thought,12
going,12
customs,12
home,12
better,12
bringing,12
custom,12
named,12
giving,12
bubastis,12
buto,12
size,12
wall,12
statues,12
dug,12
scythians,12
married,12
free,12
chians,12
aid,12
immediately,12
glaucus,12
speech,11
wish,11
heliopolis,11
showed,11
north,11
gift,11
arabian,11
eight,11
forty,11
syria,11
longer,11
learning,11
enough,11
law,11
summer,11
passed,11
winter,11
marvellous,11
divination,11
equal,11
hold,11
certain,11
met,11
appointed,11
leaving,11
means,11
message,11
harm,11
horses,11
apollo,11
ethiopian,11
friends,11
road,11
sardis,11
escaped,11
laid,11
rhodopis,11
desired,11
deposed,11
fought,11
possession,11
cimon,11
eretria,11
priestess,11
plataeans,11
learn,10
inquiry,10
account,10
moeris,10
true,10
sail,10
nature,10
although,10
further,10
red,10
greater,10
judgment,10
mainland,10
follow,10
grew,10
europe,10
lived,10
mention,10
nothing,10
knowledge,10
goes,10
passage,10
here,10
manner,10
ethiopians,10
hand,10
known,10
crossed,10
across,10
returned,10
heads,10
dedicated,10
fire,10
life,10
isis,10
stands,10
descent,10
ancient,10
thing,10
few,10
dodona,10
thinking,10
enemies,10
instead,10
persuaded,10
stood,10
us,10
tyrant,10
bade,10
enslaved,10
herald,10
leotychides,10
argos,10
considered,9
else,9
hearing,9
wanted,9
altar,9
west,9
distance,9
libyan,9
lies,9
black,9
strong,9
swine,9
inhabited,9
clean,9
lot,9
times,9
athena,9
fighting,9
guard,9
cyrene,9
trees,9
marshes,9
pillars,9
service,9
bronze,9
sacrificed,9
boats,9
indeed,9
thasos,9
established,9
marriage,9
whoever,9
tale,9
demeter,9
raised,9
ground,9
crocodile,9
arrived,9
something,9
lost,9
business,9
turn,9
gathered,9
close,9
underground,9
carrying,9
menelaus,9
answered,9
delos,9
ordered,9
resolved,9
medes,9
seafight,9
croesus,9
oath,9
help,9
eretrians,9
lemnos,9
expedition,8
ever,8
everything,8
past,8
ran,8
often,8
history,8
mind,8
lower,8
shows,8
schoeni,8
small,8
flow,8
neither,8
formerly,8
behind,8
divided,8
beginning,8
middle,8
flood,8
suppose,8
during,8
clear,8
drawn,8
pass,8
guards,8
wives,8
fathers,8
spent,8
leading,8
crocodiles,8
peoples,8
milesian,8
male,8
food,8
elsewhere,8
drink,8
penalty,8
practice,8
legs,8
oil,8
cow,8
die,8
towns,8
thebans,8
gold,8
generations,8
belly,8
taught,8
foreign,8
nations,8
honored,8
pay,8
order,8
earlier,8
oracles,8
birds,8
artemis,8
carians,8
wooden,8
fight,8
deal,8
silver,8
eggs,8
blind,8
sight,8
best,8
tried,8
lay,8
ask,8
desire,8
seventy,8
grove,8
outer,8
games,8
record,8
chamber,8
marched,8
alive,8
subdued,8
kingship,8
old,8
paid,8
mycerinus,8
child,8
samos,8
supposed,8
departed,8
boys,8
eleans,8
aeaces,8
captured,8
hippocrates,8
hellespont,8
stesagoras,8
mardonius,8
attica,8
datis,8
hippocleides,8
find,7
able,7
plan,7
age,7
calling,7
reckoned,7
thirty,7
furthermore,7
images,7
covered,7
sixty,7
judge,7
twice,7
short,7
run,7
running,7
seemed,7
worthy,7
islands,7
stones,7
least,7
rises,7
rain,7
counted,7
get,7
partly,7
rather,7
our,7
channel,7
bank,7
stream,7
regarding,7
ister,7
crossing,7
become,7
company,7
throughout,7
doors,7
hair,7
linen,7
receive,7
considering,7
bull,7
sold,7
burning,7
form,7
offerings,7
born,7
moon,7
forth,7
received,7
soon,7
bird,7
leto,7
feast,7
weight,7
ibis,7
happens,7
eyes,7
easily,7
corpse,7
impious,7
figure,7
khemmis,7
traced,7
naucratis,7
slain,7
brothers,7
act,7
colchians,7
statue,7
seize,7
declared,7
stranger,7
wrong,7
seized,7
demanded,7
palace,7
thief,7
chambers,7
evil,7
dream,7
former,7
thigh,7
agreement,7
exile,7
captive,7
chios,7
aristagoras,7
wing,7
pretext,7
public,7
zancle,7
heralds,7
spartan,7
pythian,7
delians,7
alcmeon,7
megacles,7
suitors,7
parians,7
subjects,6
believed,6
devised,6
goats,6
visited,6
seasons,6
month,6
afterwards,6
marsh,6
mud,6
eleven,6
fathoms,6
spoken,6
aforesaid,6
nine,6
declare,6
northern,6
current,6
inside,6
below,6
theirs,6
heaven,6
send,6
world,6
theban,6
truly,6
fourth,6
belongs,6
countries,6
thereafter,6
natural,6
libyans,6
forbade,6
outside,6
contrary,6
round,6
homer,6
air,6
region,6
exactly,6
passing,6
alike,6
anyone,6
along,6
armies,6
facing,6
setting,6
turned,6
chosen,6
young,6
mens,6
neighbors,6
goddess,6
female,6
compelled,6
daughters,6
wear,6
nearly,6
grow,6
gather,6
fast,6
writing,6
kinds,6
single,6
dies,6
office,6
victim,6
utter,6
possible,6
tyre,6
phoenicia,6
kill,6
subject,6
began,6
appeared,6
ones,6
tree,6
servants,6
ares,6
lamps,6
offer,6
offered,6
entrance,6
creatures,6
punished,6
household,6
males,6
embalmed,6
move,6
eaten,6
float,6
appearance,6
state,6
lineage,6
bidding,6
living,6
escape,6
defeated,6
drove,6
fair,6
treasure,6
summoned,6
obey,6
kheops,6
reigned,6
gained,6
districts,6
bore,6
triremes,6
olympic,6
counsel,6
possessions,6
revolt,6
planned,6
lesbians,6
sailing,6
refused,6
sicily,6
fear,6
dolonci,6
fourhorse,6
command,6
hippias,6
shield,6
throne,5
mourn,5
prepared,5
ruled,5
wished,5
older,5
word,5
opened,5
presence,5
relate,5
reckoning,5
add,5
agree,5
carved,5
mountain,5
seaboard,5
east,5
hills,5
ephesus,5
expect,5
pelusium,5
stayed,5
circumference,5
showing,5
rightly,5
famous,5
bears,5
cows,5
ways,5
wishing,5
notable,5
blow,5
fall,5
indicate,5
nearest,5
falls,5
fed,5
exact,5
spring,5
reach,5
question,5
sides,5
greatly,5
wherever,5
deserters,5
desert,5
etearchus,5
nasamonians,5
wild,5
farther,5
travelled,5
fruit,5
guess,5
euxine,5
related,5
straight,5
standing,5
private,5
parents,5
unwilling,5
mourning,5
animals,5
practise,5
kind,5
bulls,5
belong,5
lie,5
looks,5
horns,5
lead,5
regard,5
neck,5
myrrh,5
lamentation,5
cast,5
bury,5
amphitryon,5
preserve,5
hero,5
followed,5
native,5
big,5
ahead,5
art,5
hermes,5
rites,5
settled,5
divine,5
voice,5
celebrated,5
houses,5
wood,5
defend,5
provided,5
cats,5
dry,5
thick,5
golden,5
hollow,5
serpents,5
quite,5
memory,5
rich,5
note,5
craft,5
costly,5
shown,5
shut,5
placed,5
charge,5
using,5
square,5
celebrate,5
skins,5
keeping,5
dwell,5
sleep,5
overcome,5
brave,5
clearly,5
inquired,5
invited,5
succeeded,5
remained,5
block,5
refuge,5
accusation,5
acted,5
sidon,5
answer,5
property,5
trojans,5
toward,5
mad,5
memorial,5
trouble,5
loss,5
threatened,5
consented,5
drinking,5
arm,5
treasury,5
proclamation,5
hill,5
base,5
tier,5
canal,5
suffered,5
betrayed,5
destroyed,5
fixed,5
attacked,5
vision,5
suffer,5
warriors,5
poured,5
labyrinth,5
necos,5
nurse,5
psammis,5
elis,5
justice,5
assembled,5
citizens,5
patarbemis,5
thrace,5
broke,5
deed,5
chief,5
ladice,5
susa,5
encamped,5
crews,5
holding,5
tyrants,5
utterly,5
anchor,5
ills,5
phoenician,5
chariot,5
stadia,5
lampsacenes,5
thasians,5
athos,5
besieged,5
mines,5
elder,5
advice,5
lacedaemon,5
affair,5
agetus,5
corinthians,5
sicyon,5
protection,5
prevailed,5
polemarch,5
callimachus,5
alcmeonidae,5
cyrus,4
aeolians,4
shepherd,4
hear,4
door,4
entered,4
paying,4
careful,4
master,4
belonged,4
conversation,4
affairs,4
discovered,4
completed,4
assigned,4
case,4
min,4
readily,4
approach,4
reaching,4
abundance,4
narrow,4
quarries,4
frankincense,4
level,4
ilion,4
space,4
direct,4
salt,4
sandy,4
syrians,4
inhabit,4
thirteen,4
rise,4
likewise,4
meaning,4
overtaken,4
source,4
unable,4
fields,4
labor,4
break,4
grain,4
idle,4
nation,4
cilicia,4
response,4
ammon,4
apis,4
believing,4
religious,4
sometimes,4
rising,4
etesian,4
smaller,4
previous,4
midst,4
fallen,4
flying,4
happen,4
poet,4
customary,4
dried,4
catch,4
expected,4
caused,4
changed,4
cold,4
rope,4
look,4
strength,4
joined,4
pursued,4
gone,4
planning,4
signs,4
runs,4
issues,4
different,4
sitting,4
shaven,4
garments,4
write,4
daily,4
endure,4
drawing,4
tongue,4
tail,4
respects,4
sacrificing,4
carcass,4
libation,4
taste,4
however,4
flesh,4
dealt,4
bones,4
aphrodite,4
touch,4
sheep,4
osiris,4
want,4
finally,4
contrived,4
ram,4
coffin,4
nowhere,4
knowing,4
poseidon,4
holy,4
