woord,frequency
the,502
of,307
and,260
to,252
you,196
i,195
a,170
for,157
in,146
is,124
my,114
will,111
this,110
chorus,106
not,105
have,77
by,77
from,76
that,75
with,73
your,68
as,61
he,55
his,54
but,53
who,53
on,52
it,52
me,52
be,48
are,48
athena,44
do,43
land,42
him,40
no,39
apollo,37
man,32
what,32
at,32
orestes,31
gods,30
so,30
all,29
city,27
if,27
or,26
an,26
them,26
these,24
earth,24
has,24
come,24
blood,24
we,23
zeus,23
now,23
their,23
mother,23
may,23
one,23
her,23
am,22
they,22
our,22
she,22
was,21
then,21
mortals,21
say,19
honor,19
there,18
house,18
people,18
here,18
over,17
when,17
case,17
how,16
since,16
after,16
out,15
other,15
time,15
great,15
let,15
without,15
where,15
hear,15
father,15
things,14
those,14
ancient,13
under,13
such,13
see,13
life,13
heart,13
us,13
among,13
down,13
god,13
good,13
pallas,13
give,12
citizens,12
shall,12
cast,12
been,12
murder,12
way,12
away,12
just,12
never,12
return,11
home,11
justice,11
like,11
children,11
even,11
suppliant,11
win,11
its,11
killed,11
would,10
night,10
hands,10
any,10
oh,10
yet,10
death,10
men,10
does,10
take,10
,9
before,9
nor,9
oath,9
bring,9
know,9
goddess,9
go,9
speak,9
clytaemestra,9
office,9
furies,9
first,9
beneath,9
mothers,8
sanctuary,8
up,8
alas,8
woman,8
dishonor,8
pollution,8
near,8
yes,8
anger,8
cause,8
hold,8
although,8
than,8
evil,8
image,8
against,8
ghost,8
women,8
many,8
respect,7
part,7
matter,7
harm,7
farewell,7
live,7
about,7
very,7
too,7
decide,7
fate,7
drive,7
judgment,7
child,7
upon,7
more,7
because,7
did,7
words,7
mortal,7
fathers,7
loxias,7
enter,7
place,7
fear,7
venom,6
need,6
tell,6
release,6
judges,6
escort,6
wrath,6
nothing,6
stranger,6
can,6
indeed,6
blessings,6
foot,6
gone,6
new,6
speech,6
gave,6
seat,6
old,6
ballots,6
whether,6
suffered,6
sleep,6
right,6
bloodshed,6
once,6
vote,6
prophet,6
trial,6
both,6
which,6
force,6
must,6
make,6
dishonored,6
either,5
mine,5
dead,5
free,5
learn,5
came,5
company,5
were,5
wisdom,5
angry,5
eyes,5
fresh,5
goddesses,5
call,5
throne,5
speeding,5
appointed,5
husband,5
much,5
forth,5
distress,5
end,5
deed,5
rage,5
while,5
command,5
cruel,5
witness,5
again,5
back,5
hard,5
cannot,5
ever,5
honors,5
homes,5
justly,5
surely,5
every,5
called,5
aloud,5
always,5
most,5
black,5
also,5
younger,5
truly,5
wholly,5
through,5
far,5
reverence,5
birth,5
whole,5
still,5
power,5
honored,5
friends,5
turn,5
drops,5
purification,5
lady,5
soon,5
mind,5
get,4
having,4
fail,4
upright,4
future,4
clear,4
greater,4
victim,4
laws,4
some,4
another,4
flight,4
ruin,4
hand,4
approach,4
awe,4
bringing,4
hearth,4
made,4
catch,4
name,4
lord,4
remains,4
happiness,4
matricide,4
oracle,4
light,4
watch,4
hermes,4
decided,4
war,4
long,4
might,4
whom,4
doing,4
yourself,4
feast,4
cry,4
heard,4
dear,4
oracular,4
song,4
victory,4
hateful,4
creatures,4
sacred,4
destroys,4
into,4
matters,4
sit,4
neither,4
limbs,4
moan,4
behalf,4
stand,4
processional,4
plain,4
strong,4
kindly,4
persuaded,4
gift,4
send,4
temple,4
accomplish,4
ares,4
awake,4
joy,4
family,4
given,4
possible,4
seeing,4
straight,4
sea,4
powerful,4
terrible,4
enemies,4
receive,4
himself,4
kill,4
stands,4
could,4
pure,4
should,4
look,4
form,3
deprived,3
charge,3
strength,3
yours,3
offspring,3
persuasion,3
worthy,3
hill,3
ones,3
reproach,3
mighty,3
worship,3
inner,3
endure,3
theseus,3
drawn,3
master,3
deadly,3
destroyed,3
hymn,3
o,3
thrones,3
blight,3
gain,3
present,3
counsel,3
houses,3
favorable,3
murderer,3
parent,3
breath,3
darkness,3
advice,3
afterwards,3
already,3
set,3
ridden,3
seizes,3
beginning,3
streams,3
kin,3
allow,3
deeds,3
aid,3
seated,3
whose,3
declare,3
burden,3
bind,3
well,3
common,3
word,3
held,3
done,3
alike,3
athenas,3
stay,3
phoebus,3
living,3
same,3
robes,3
path,3
law,3
pursue,3
taking,3
someone,3
escorted,3
remain,3
leaves,3
struck,3
born,3
region,3
want,3
clearly,3
defiled,3
fruit,3
tribunal,3
below,3
chosen,3
breathing,3
forever,3
allotted,3
fortune,3
directed,3
dust,3
ordained,3
inflict,3
band,3
escape,3
unbearable,3
destruction,3
invoke,3
bound,3
vain,3
overcome,3
rightly,3
rather,3
dream,3
wrong,3
establish,3
suffer,3
young,3
remedy,3
answer,3
responsible,3
spell,3
falling,3
guardian,3
show,3
wretch,3
share,3
waters,3
soul,3
righteous,3
heavily,3
keep,3
destroying,3
ground,3
beyond,3
beloved,3
seed,3
off,3
find,3
marriage,3
spirit,3
asleep,3
fury,3
parents,3
argive,3
course,3
unclean,3
divinities,3
tongue,3
assigned,3
drink,3
whining,2
loves,2
painfully,2
appears,2
poor,2
immortal,2
accept,2
urging,2
everlasting,2
edge,2
won,2
third,2
pledges,2
stealthily,2
expiation,2
brings,2
escaped,2
abandon,2
inform,2
deeply,2
kept,2
act,2
passion,2
zealously,2
testimony,2
spur,2
above,2
anguish,2
mean,2
wither,2
sitting,2
cherish,2
anything,2
charm,2
resentment,2
labor,2
lightly,2
teach,2
leap,2
hearts,2
dance,2
altars,2
saw,2
lot,2
boast,2
cowering,2
runners,2
trouble,2
ixion,2
ruined,2
aged,2
wine,2
rites,2
until,2
hurl,2
misery,2
sacrificed,2
horrors,2
equal,2
mourning,2
thus,2
everything,2
prophetic,2
support,2
brief,2
（moan）the,2
deny,2
purifier,2
enters,2
detested,2
witnesses,2
profit,2
world,2
ballot,2
sunless,2
lead,2
had,2
spears,2
unhappy,2
draw,2
revere,2
holds,2
whine,2
lost,2
fortunes,2
sacrifices,2
fawn,2
forms,2
everywhere,2
offerings,2
hunting,2
dark,2
crowd,2
judge,2
struggles,2
disappears,2
nearest,2
faithful,2
ordered,2
aegis,2
bear,2
takes,2
heavy,2
unjustly,2
human,2
sins,2
dripping,2
utterly,2
seeks,2
shot,2
fight,2
violence,2
means,2
only,2
fit,2
groan,2
unendurable,2
guards,2
best,2
why,2
due,2
keeping,2
others,2
older,2
prey,2
letting,2
claim,2
afar,2
pay,2
mouth,2
pass,2
deceptions,2
keen,2
approve,2
advocate,2
possession,2
glorious,2
said,2
withering,2
explain,2
wingless,2
piteously,2
wings,2
alive,2
pursuing,2
therefore,2
echo,2
aha,2
true,2
torches,2
silent,2
refrain,2
correctly,2
proof,2
story,2
steals,2
fulfiller,2
court,2
wrongs,2
themis,2
poured,2
victorious,2
lawful,2
infection,2
grave,2
plant,2
sacrificial,2
myself,2
wind,2
ruinous,2
prophesy,2
guard,2
within,2
side,2
pythian,2
priestess,2
loose,2
solemn,2
whoever,2
shining,2
according,2
delight,2
gorgons,2
follow,2
anyone,2
shrine,2
wake,2
mocked,2
olympian,2
phoebe,2
separated,2
sword,2
proper,2
punishment,2
realm,2
alone,2
comes,2
shame,2
sped,2
account,2
frenzied,2
youth,2
savior,2
fallen,2
taken,2
inauspicious,2
fulfilment,2
herald,2
profitable,2
love,2
hellenes,2
fates,2
pray,2
foreign,2
birds,2
each,2
privilege,2
commander,2
begins,2
utter,2
blame,2
places,2
concern,2
lyre,2
swift,2
beast,2
centerstone,2
prayer,2
gives,2
overpower,2
goad,2
duty,2
mens,2
proud,2
race,2
fire,2
disgrace,2
spells,2
visitors,2
privileges,2
bath,2
defense,2
daughters,2
greatly,2
put,2
exile,2
bright,2
seen,2
raised,2
cut,2
jurors,2
spear,2
leave,2
accused,2
divine,2
hour,2
trip,2
own,2
breast,2
vengeance,2
overthrow,2
though,2
confidence,2
tuned,2
arrange,2
portion,2
maddened,2
dwellers,2
especially,2
grief,2
godless,2
altar,2
meet,2
guilty,2
continues,2
plague,2
grow,2
debt,2
quick,2
falls,2
whenever,2
oracles,2
maidens,2
highest,2
cure,2
last,2
hears,2
remember,2
move,2
ah,2
rise,2
sent,2
arms,2
waiting,2
exist,2
drag,2
flowing,2
weaken,2
haunt,1
walk,1
grateful,1
golden,1
sacredly,1
landed,1
learning,1
daughter,1
dyed,1
shed,1
dim,1
impiety,1
rights,1
blunted,1
accursed,1
able,1
preserved,1
gleaming,1
sees,1
ways,1
tired,1
spoke,1
willingly,1
stabbed,1
shipfrequented,1
nurture,1
consciousness,1
sweetness,1
tight,1
persuasive,1
wanderers,1
duly,1
threatened,1
red,1
acted,1
snares,1
dispersedly,1
questions,1
fashion,1
banquets,1
spit,1
gouging,1
greed,1
found,1
wave,1
fears,1
public,1
erechtheus,1
grazing,1
pleadings,1
curses,1
robe,1
hovers,1
winged,1
scamander,1
lovers,1
advise,1
dearest,1
tree,1
preeminent,1
honorably,1
audience,1
choose,1
penalty,1
aside,1
sail,1
leaving,1
wool,1
rejoicing,1
blameless,1
arrows,1
filled,1
bidding,1
gashes,1
bolt,1
buds,1
consolation,1
rash,1
blackhearted,1
atonement,1
cronus,1
beheading,1
burning,1
rushed,1
second,1
address,1
better,1
bloodless,1
embryo,1
marches,1
health,1
erinys,1
spiritless,1
high,1
deliverer,1
gracious,1
thunderbolt,1
tent,1
sleeping,1
faith,1
produce,1
subject,1
kinsman,1
titan,1
preserves,1
fourth,1
prolonged,1
informer,1
bacchantes,1
decay,1
sets,1
resembling,1
eager,1
chances,1
salvation,1
quickness,1
summons,1
obligation,1
wholeheartedly,1
honoring,1
rival,1
honest,1
blare,1
become,1
sinned,1
filling,1
allotment,1
majestic,1
belt,1
trees,1
corycianrock,1
state,1
plead,1
inspired,1
thoughts,1
spoken,1
bearing,1
promise,1
bestowing,1
splintered,1
hanging,1
prophecy,1
roused,1
pentheus,1
killing,1
dwell,1
accomplishes,1
dog,1
shrieks,1
clots,1
embraces,1
struggle,1
chill,1
（whine）,1
repulsive,1
saves,1
paths,1
travelled,1
bitter,1
seems,1
dimsighted,1
safety,1
centerstonea,1
strike,1
punish,1
untamed,1
amazons,1
scene,1
choice,1
learned,1
whirling,1
hellas,1
radiant,1
error,1
triton,1
gaining,1
torch,1
goats,1
feed,1
attentions,1
mournful,1
sorrow,1
roamed,1
disclosed,1
spearexit,1
understand,1
looking,1
encountered,1
devour,1
remedies,1
enterprise,1
charioteer,1
match,1
ordinance,1
stained,1
mankind,1
parnassus,1
tyranny,1
rightful,1
shores,1
eternal,1
disgusting,1
impunity,1
procession,1
throats,1
argument,1
work,1
glad,1
rearing,1
slaughtered,1
pollute,1
oversees,1
balloting,1
led,1
willing,1
altercation,1
gloom,1
quickly,1
chiefs,1
wildness,1
laughs,1
gruesome,1
attack,1
inscribes,1
virility,1
harmful,1
disaster,1
middle,1
differently,1
except,1
lenient,1
seats,1
leads,1
built,1
please,1
wait,1
loud,1
peace,1
skill,1
heat,1
barred,1
justified,1
whatever,1
injustice,1
freedom,1
lungs,1
vitals,1
speaks,1
athens,1
strange,1
omnes,1
strain,1
mindthe,1
blooddrinking,1
dishonors,1
intentionally,1
banished,1
white,1
rite,1
hunt,1
fright,1
protection,1
stint,1
fully,1
signal,1
piercing,1
attendant,1
dress,1
somewhere,1
stoning,1
caused,1
allotments,1
breaths,1
lament,1
leaders,1
sober,1
single,1
housethe,1
surveying,1
perishing,1
happen,1
savage,1
towards,1
guest,1
drowse,1
visibly,1
ride,1
avenge,1
den,1
fetters,1
numbers,1
rich,1
attica,1
ourselves,1
escortexit,1
background,1
shrivel,1
equalapollo,1
ours,1
extraordinary,1
safe,1
expectation,1
delos,1
cocks,1
flourishing,1
amassing,1
wonder,1
recklessness,1
defeated,1
acquitted,1
accepted,1
oversee,1
lofty,1
sun,1
keenness,1
understanding,1
himenters,1
dwellings,1
division,1
evidence,1
purified,1
male,1
fading,1
previous,1
folds,1
spokesman,1
bloody,1
lawless,1
coming,1
thought,1
sting,1
feet,1
welcome,1
councilhall,1
arranges,1
hurtful,1
crafty,1
newborn,1
acting,1
neglectful,1
drained,1
repent,1
impaled,1
unshared,1
folly,1
aiding,1
shedding,1
prime,1
wrecks,1
regard,1
took,1
senseless,1
three,1
bromius,1
nurse,1
unforeseeable,1
eye,1
length,1
acquittal,1
respects,1
pledge,1
thief,1
wounds,1
repeat,1
ridge,1
between,1
majesty,1
association,1
indignation,1
dwindle,1
cloak,1
forces,1
excessive,1
residence,1
avenger,1
content,1
bowstring,1
hosts,1
makes,1
grant,1
sealed,1
deathless,1
favor,1
omnipotent,1
gardener,1
cease,1
votes,1
tribe,1
lives,1
pleistus,1
lucky,1
calls,1
weary,1
pursuitthe,1
past,1
custom,1
sorrowpointing,1
accomplishing,1
statues,1
citadel,1
worn,1
voiceless,1
slain,1
clamor,1
relying,1
scepter,1
retribution,1
beasts,1
verdict,1
fine,1
beguiled,1
lived,1
ilion,1
offers,1
guts,1
stream,1
monsters,1
following,1
witnessesturning,1
yoking,1
boasting,1
exhausted,1
clean,1
holding,1
argos,1
levels,1
slept,1
womb,1
birthday,1
aloof,1
hardship,1
scourge,1
consent,1
neighbor,1
visitations,1
acquire,1
action,1
holy,1
together,1
denial,1
installing,1
rumor,1
tread,1
parentage,1
close,1
rescue,1
briefly,1
sisters,1
battling,1
track,1
fatigue,1
driven,1
achaeans,1
paid,1
violate,1
embroidered,1
brood,1
brooding,1
snore,1
compulsion,1
die,1
thinks,1
snare,1
conspirators,1
marshal,1
timely,1
outlaws,1
primeval,1
hunted,1
allied,1
worshipped,1
train,1
receiving,1
two,1
securely,1
fall,1
overturning,1
caverns,1
plea,1
sharp,1
appear,1
contradict,1
hephaistosroadbuilders,1
pain,1
murders,1
cowardly,1
unseen,1
barking,1
mist,1
unjust,1
troy,1
gleam,1
appeal,1
suppliants,1
large,1
nursed,1
maintain,1
avengers,1
blow,1
terrorstricken,1
occupying,1
feel,1
fierce,1
murderers,1
loathed,1
stain,1
snake,1
discord,1
prosperity,1
final,1
killer,1
sign,1
herdsman,1
blamed,1
wreaths,1
expedition,1
urns,1
jurys,1
incentives,1
sound,1
wealth,1
misfortune,1
removes,1
reef,1
libyan,1
cases,1
dreadful,1
rebuke,1
removed,1
short,1
songs,1
sorrowful,1
healing,1
party,1
scorn,1
ignore,1
exemption,1
guests,1
welcomed,1
entirely,1
dealings,1
uneasily,1
youll,1
smiling,1
homicide,1
legend,1
considered,1
hollow,1
amazon,1
press,1
trail,1
across,1
mounts,1
unharmed,1
around,1
told,1
cresting,1
directs,1
thing,1
faces,1
purify,1
guarded,1
journeys,1
accordance,1
pity,1
flourish,1
pelops,1
tireless,1
giving,1
carrying,1
visit,1
showing,1
hate,1
perpetual,1
question,1
subtleties,1
drowsy,1
catches,1
boasts,1
youto,1
helmsman,1
compare,1
prosper,1
（whine）the,1
turned,1
reply,1
however,1
sprinkled,1
recover,1
established,1
tuft,1
guilts,1
colts,1
bold,1
prosecutor,1
lakeand,1
crowned,1
boldly,1
boasted,1
running,1
guardians,1
troop,1
dispensations,1
jury,1
speaking,1
themselves,1
blooddripping,1
phlegraean,1
sons,1
days,1
nets,1
intend,1
await,1
godgiven,1
suffering,1
sacrifice,1
execution,1
anticipates,1
cavernous,1
softened,1
tiring,1
hints,1
use,1
ship,1
wins,1
heavens,1
fighting,1
suck,1
lapped,1
vomiting,1
going,1
commands,1
cruelly,1
towers,1
accustom,1
grievous,1
pronounce,1
guideshepherding,1
yield,1
phineus,1
appeasement,1
wise,1
olivebranch,1
mistaken,1
leadsshe,1
silence,1
spring,1
interior,1
making,1
visited,1
neighbors,1
triumph,1
longer,1
skilled,1
altogether,1
turning,1
rock,1
prayed,1
departs,1
beginningis,1
heap,1
display,1
merited,1
glance,1
allies,1
scythians,1
tribal,1
mutilation,1
rivalry,1
foam,1
tried,1
reject,1
brother,1
season,1
piously,1
poseidon,1
wineless,1
spurning,1
beside,1
tracks,1
entrances,1
grieve,1
waste,1
ordinances,1
none,1
failure,1
pheres,1
refusal,1
swear,1
agony,1
hound,1
enough,1
barrenness,1
sworn,1
areopagus,1
calm,1
absent,1
parties,1
revered,1
twin,1
undo,1
knees,1
half,1
pains,1
hotheaded,1
anarchy,1
slumbering,1
homesexit,1
overflow,1
forewarn,1
covered,1
toil,1
purges,1
snatching,1
aegeus,1
lend,1
letos,1
hare,1
fortress,1
moderation,1
shown,1
magic,1
unfulfilled,1
maiden,1
abandoned,1
wearing,1
banish,1
select,1
telling,1
tells,1
gust,1
island,1
illomened,1
glistening,1
prosperous,1
trumpet,1
naval,1
contrived,1
agamemnon,1
kills,1
forget,1
decked,1
reader,1
untimely,1
else,1
praise,1
twisted,1
vision,1
sleepers,1
fairly,1
cranaus,1
bloodstained,1
executioners,1
dismissed,1
perfect,1
join,1
surmount,1
shake,1
ill,1
punishments,1
assume,1
celebration,1
hides,1
lack,1
labors,1
twice,1
exit,1
result,1
assured,1
country,1
evils,1
inquire,1
rough,1
wife,1
perfectly,1
intolerable,1
compulsions,1
perplexity,1
distribute,1
fled,1
matricides,1
water,1
scent,1
dearlyloved,1
summon,1
changes,1
lion,1
yardarm,1
unwept,1
arrival,1
newlysown,1
slower,1
chariot,1
songexeunt,1
flamefed,1
completely,1
worshipper,1
exercise,1
effective,1
son,1
exeunt,1
advocates,1
ask,1
anxiety,1
obey,1
becomes,1
scarlet,1
harmless,1
plenty,1
arrogance,1
kinship,1
murdered,1
speeches,1
captain,1
tartarus,1
day,1
stepping,1
venerable,1
olympians,1
owed,1
contrary,1
dwelling,1
hated,1
plotting,1
tyrant,1
perishes,1
perhaps,1
leader,1
taskthe,1
boldness,1
flocks,1
unknown,1
grace,1
decrease,1
during,1
rituals,1
midst,1
exact,1
appearance,1
endures,1
further,1
delphus,1
purifying,1
fettered,1
wrongful,1
native,1
mocking,1
spoil,1
award,1
flock,1
ally,1
vindictive,1
prophetess,1
noble,1
stealing,1
whet,1
stolen,1
godly,1
uncertain,1
rest,1
related,1
appease,1
ornament,1
tears,1
clinging,1
libations,1
fleece,1
murdering,1
gales,1
dispensing,1
affairs,1
names,1
fattened,1
interval,1
aging,1
relative,1
resolved,1
decorously,1
wounded,1
source,1
mainland,1
wide,1
lie,1
cost,1
dread,1
liquid,1
glory,1
loathsome,1
reproaches,1
returns,1
wishes,1
fatherland,1
resulted,1
unworthy,1
reckless,1
teacher,1
defend,1
purposes,1
equally,1
camp,1
mention,1
throat,1
portents,1
wrestling,1
tyrrhenian,1
aim,1
redoubled,1
destiny,1
contests,1
sort,1
shrill,1
painting,1
threw,1
head,1
waves,1
truth,1
full,1
escapes,1
whereas,1
produced,1
heritage,1
oaths,1
received,1
attire,1
success,1
hades,1
fleet,1
along,1
afflicted,1
victims,1
rely,1
observes,1
rushing,1
itself,1
shadow,1
ended,1
wellequipped,1
leniently,1
proofs,1
prevailed,1
generations,1
spine,1
keys,1
mad,1
cutting,1
nymphs,1
grants,1
earlier,1
top,1
untouched,1
daytime,1
cypris,1
welldisposed,1
greedy,1
thriving,1
agreed,1
permit,1
decision,1
sky,1
obtain,1
nevertheless,1
cities,1
taming,1
washed,1
council,1
casts,1
concerns,1
maddening,1
rightminded,1
described,1
rule,1
brotherhoods,1
