woord,frequency
the,121
of,55
and,41
to,41
in,35
with,33
a,27
i,25
will,20
mountain,20
you,19
who,15
from,14
this,14
was,11
or,11
go,11
agave,11
it,11
as,10
chorus,10
where,9
be,9
is,9
their,9
he,9
him,9
but,8
pentheus,8
his,8
at,8
for,8
bacchae,8
kadmos,8
my,7
dionysus,7
not,7
by,7
that,7
pine,7
mother,7
her,7
let,7
on,6
maenads,6
they,6
all,6
dance,6
sacred,6
me,6
god,6
when,6
teiresias,6
city,6
come,6
some,6
see,6
we,5
hands,5
are,5
wise,5
first,5
ambush,5
out,5
one,5
through,5
bring,4
women,4
hide,4
like,4
bacchus,4
holy,4
earth,4
bromius,4
caves,4
delight,4
son,4
have,4
old,4
man,4
do,4
forth,4
daughters,4
rock,4
offspring,4
had,3
shall,3
them,3
yourself,3
should,3
coming,3
honor,3
branches,3
your,3
white,3
thyrsoi,3
,3
once,3
whoever,3
o,3
zeus,3
swift,3
foot,3
house,3
towering,3
then,3
too,3
young,3
lead,3
what,3
born,3
messenger,3
has,3
kithairon,3
down,3
she,3
dressed,3
womens,3
attire,3
smooth,3
crag,3
lies,3
bore,3
blood,3
pulled,3
now,2
well,2
hidden,2
spy,2
oh,2
oak,2
adorn,2
garments,2
spotted,2
fawnskin,2
fleeces,2
sheep,2
sport,2
games,2
insolent,2
leads,2
band,2
crowd,2
waits,2
goaded,2
away,2
weaving,2
secret,2
chamber,2
kouretes,2
cretan,2
parents,2
korybantes,2
triple,2
helmet,2
invented,2
circle,2
covered,2
stretched,2
luxury,2
tmolus,2
flows,2
gold,2
sing,2
beneath,2
heavy,2
beat,2
drums,2
celebrating,2
phrygian,2
shouts,2
cries,2
sweetsounding,2
pipe,2
sounds,2
playful,2
tune,2
suited,2
wanderers,2
bacchante,2
rejoicing,2
foal,2
its,2
grazing,2
rouses,2
gamboling,2
gates,2
call,2
agenor,2
leaving,2
sidon,2
built,2
thebans,2
never,2
thyrsos,2
am,2
same,2
try,2
an,2
without,2
ones,2
walls,2
enter,2
began,2
running,2
fleet,2
hounds,2
sisters,2
mad,2
cry,2
seeker,2
mountaingoing,2
kadmeans,2
womans,2
lioness,2
libyan,2
gorgons,2
manifest,2
justice,2
sword,2
hand,2
slaying,2
throat,2
godless,2
lawless,2
unjust,2
earthborn,2
branch,2
tree,2
bent,2
upright,2
master,2
saw,2
home,2
told,2
here,2
state,1
mind,1
before,1
unsound,1
think,1
ought,1
levers,1
draw,1
up,1
putting,1
shoulder,1
arm,1
under,1
mountaintops,1
dont,1
destroy,1
seats,1
nymphs,1
places,1
pan,1
plays,1
pipes,1
said,1
taken,1
force,1
pines,1
crafty,1
yes,1
imagine,1
birds,1
fruit,1
crown,1
excited,1
someone,1
so,1
tire,1
night,1
day,1
striking,1
ground,1
gladly,1
forgotten,1
feelings,1
feel,1
chariot,1
would,1
equal,1
pupil,1
us,1
there,1
trouble,1
only,1
gods,1
pass,1
over,1
least,1
save,1
listen,1
words,1
message,1
await,1
escape,1
ruler,1
land,1
thebes,1
bright,1
flakes,1
snow,1
melt,1
important,1
news,1
having,1
seen,1
revelry,1
king,1
favor,1
thought,1
spoke,1
lay,1
hiding,1
ourselves,1
foliage,1
bushes,1
appointed,1
hour,1
wave,1
revelries,1
calling,1
iacchus,1
united,1
voice,1
whole,1
revelled,1
along,1
beasts,1
nothing,1
unmoved,1
happened,1
leaping,1
near,1
sprang,1
wanting,1
snatch,1
abandoning,1
myself,1
cried,1
hunted,1
these,1
find,1
renown,1
reaching,1
heaven,1
reach,1
great,1
contest,1
victors,1
rest,1
matter,1
itself,1
show,1
madness,1
hold,1
company,1
drive,1
raving,1
against,1
echion,1
lofty,1
topmost,1
dark,1
just,1
bow,1
curved,1
wheel,1
marked,1
compass,1
describes,1
circular,1
course,1
way,1
stranger,1
drew,1
bough,1
doing,1
no,1
mortals,1
deed,1
sat,1
steadily,1
taking,1
care,1
shake,1
off,1
stood,1
firmly,1
into,1
sky,1
seated,1
looked,1
around,1
repeated,1
order,1
recognized,1
clear,1
command,1
rushed,1
dove,1
eager,1
speed,1
feet,1
leapt,1
torrentstreaming,1
valley,1
cliffs,1
frantic,1
inspiration,1
sitting,1
climbed,1
opposite,1
hurl,1
boulders,1
violently,1
thrown,1
aimed,1
other,1
hurled,1
air,1
dripping,1
own,1
leader,1
eyes,1
contorted,1
receive,1
revel,1
joy,1
asian,1
why,1
excite,1
bringing,1
freshly,1
cut,1
tendril,1
blessed,1
prey,1
accept,1
fellow,1
reveler,1
caught,1
wild,1
lion,1
cub,1
snares,1
can,1
desert,1
slew,1
struck,1
place,1
lying,1
woods,1
discovery,1
difficult,1
bold,1
deeds,1
already,1
within,1
return,1
turned,1
back,1
child,1
killed,1
autonoe,1
actaeon,1
aristaeus,1
ino,1
still,1
thicket,1
wretched,1
creatures,1
bacchic,1
correct,1
