woord,frequency
the,665
of,335
and,335
you,284
to,271
i,243
a,216
in,207
is,138
with,131
dionysus,125
for,122
pentheus,119
will,118
your,113
not,105
he,104
this,104
my,102
but,93
who,85
from,84
me,84
it,83
that,81
have,77
his,73
as,70
him,66
agave,63
are,63
what,63
kadmos,62
god,58
do,58
on,57
their,56
they,55
chorus,54
by,51
be,50
see,45
was,45
at,43
go,41
we,40
bacchae,37
them,36
or,35
man,35
house,34
all,34
one,34
come,34
hands,33
has,33
did,32
zeus,31
so,31
where,31
mother,28
her,28
out,27
gods,27
when,26
now,25
city,25
child,25
here,25
am,24
women,24
which,24
there,23
if,22
let,22
no,22
how,21
men,21
like,21
mortals,21
our,21
having,20
bring,20
us,20
father,20
thyrsos,19
were,19
up,19
had,19
old,19
things,19
son,19
land,18
some,18
great,18
bromius,18
down,18
bacchus,18
maenads,18
these,18
against,18
too,17
teiresias,17
into,17
head,17
then,17
first,17
leader,16
dance,16
rites,16
still,16
thebes,16
she,16
whom,15
an,15
would,14
hand,14
say,14
without,14
terrible,14
may,14
wise,14
must,14
before,14
honor,14
lead,14
bacchic,14
hold,14
mountain,14
being,14
kithairon,13
over,13
about,13
stranger,13
well,13
why,13
wretched,13
hear,13
,12
tell,12
yes,12
messenger,12
body,12
right,12
nor,12
through,12
though,12
its,12
revelry,12
should,12
shall,11
left,11
another,11
oh,11
caught,11
ivy,11
once,11
mountains,11
young,11
blessed,11
way,11
off,11
pine,11
apart,10
daughters,10
can,10
forth,10
life,10
semele,10
earth,10
together,10
echion,10
think,10
among,10
even,10
said,10
ground,10
many,10
hair,9
saw,9
other,9
call,9
lord,9
does,9
sacred,9
than,9
good,9
might,9
take,9
mortal,9
seen,9
arms,9
daughter,8
any,8
hellas,8
o,8
catch,8
happy,8
been,8
while,8
bore,8
more,8
sisters,8
mind,8
speak,8
after,8
day,8
put,8
eyes,8
along,8
miserable,8
offspring,7
holy,7
night,7
master,7
death,7
streams,7
white,7
feet,7
wild,7
chains,7
aphrodite,7
doing,7
around,7
wish,7
io,7
myself,7
thyrsoi,7
air,7
beast,7
those,7
suffer,7
away,7
voice,7
enter,7
mad,7
words,7
whenever,7
sent,7
dances,6
coming,6
ones,6
delight,6
dont,6
under,6
part,6
trouble,6
began,6
cast,6
light,6
set,6
indeed,6
brought,6
woman,6
much,6
foot,6
prey,6
yourself,6
two,6
new,6
upon,6
hunt,6
sitting,6
speaking,6
serpent,6
whoever,6
making,6
follow,6
far,6
know,6
fire,6
own,6
earthborn,6
wear,6
gave,6
blood,6
receive,6
longer,6
born,6
stop,6
bull,6
look,6
unjust,5
mothers,5
troubles,5
escaped,5
bear,5
sweet,5
punishment,5
rejoice,5
wisdom,5
shame,5
throughout,5
name,5
time,5
womens,5
easily,5
hunting,5
alas,5
could,5
soon,5
home,5
beasts,5
grief,5
nature,5
long,5
flame,5
seem,5
near,5
heard,5
back,5
theban,5
dwell,5
thigh,5
thebans,5
turned,5
hunter,5
crown,5
within,5
most,5
joyful,5
vine,5
ino,5
bind,5
praise,5
join,5
power,5
midst,5
show,5
just,5
force,5
thinking,5
full,5
place,5
again,5
manifest,5
ought,5
hera,5
fear,5
sight,5
order,5
golden,4
form,4
branch,4
ways,4
strength,4
sprang,4
seeing,4
upright,4
dearest,4
leaving,4
give,4
actaeon,4
mean,4
best,4
state,4
shut,4
tmolus,4
farewell,4
wine,4
punish,4
woods,4
frenzy,4
foreign,4
goddess,4
everything,4
led,4
phrygian,4
already,4
made,4
unhappy,4
holds,4
dark,4
deeds,4
work,4
whose,4
countless,4
took,4
mysteries,4
consider,4
age,4
held,4
clothing,4
rage,4
torn,4
drive,4
ares,4
glorious,4
feast,4
celebrate,4
changed,4
appear,4
flows,4
victory,4
anger,4
care,4
oak,4
olympus,4
servant,4
people,4
clearly,4
carried,4
because,4
told,4
fortunate,4
whether,4
running,4
inside,4
company,4
walls,4
slaves,4
rock,4
hidden,4
always,4
branches,4
sword,4
bound,4
alone,4
covered,4
autonoe,4
perform,4
taken,4
folly,4
madness,4
insolence,4
lion,4
birds,4
prison,4
swift,4
shaking,4
whole,4
quiet,4
drew,4
calling,4
keep,4
share,4
rest,4
different,4
raise,4
beyond,4
sung,4
spy,4
palace,4
marriage,4
wits,4
barbarians,4
make,4
beautiful,4
killed,4
sleep,4
standing,4
desire,4
beneath,4
try,4
banquets,3
lies,3
impiety,3
tomb,3
exile,3
lightning,3
free,3
band,3
cries,3
whatever,3
public,3
tree,3
heads,3
affairs,3
dappled,3
get,3
servants,3
second,3
greater,3
release,3
birth,3
mingled,3
become,3
reason,3
upside,3
foolish,3
divine,3
boast,3
destroyed,3
harmonia,3
hide,3
seems,3
pulled,3
yet,3
ambush,3
return,3
bid,3
hunted,3
chamber,3
luxury,3
maenad,3
strange,3
rocks,3
tore,3
revere,3
headband,3
very,3
performed,3
sky,3
crowd,3
lofty,3
lawless,3
shameful,3
reach,3
believe,3
means,3
only,3
changing,3
frantic,3
recognized,3
end,3
introducing,3
battle,3
justice,3
exhausted,3
others,3
womb,3
burn,3
garlands,3
heart,3
least,3
same,3
fall,3
seat,3
hope,3
ah,3
taking,3
someone,3
therefore,3
female,3
plain,3
sense,3
fierce,3
indoors,3
trees,3
remain,3
crop,3
sound,3
wealth,3
misfortune,3
quietly,3
songs,3
case,3
milk,3
guide,3
noise,3
gates,3
wife,3
locks,3
foliage,3
cannot,3
