woord,frequency
the,16
to,13
a,13
of,9
my,8
in,6
i,6
and,5
for,4
electra,4
chorus,4
that,4
on,4
from,4
with,4
will,3
but,3
come,3
your,3
house,3
sword,2
not,2
mother,2
argive,2
assembly,2
go,2
or,2
have,2
has,2
he,2
mountain,2
are,2
maidens,2
father,2
give,1
shout,1
signal,1
this,1
contest,1
keep,1
ready,1
holding,1
it,1
hand,1
ever,1
if,1
defeated,1
submit,1
enemies,1
right,1
insult,1
body,1
goes,1
into,1
hut,1
story,1
remains,1
old,1
legends,1
pan,1
keeper,1
wild,1
beasts,1
breathing,1
sweetvoiced,1
music,1
his,1
welljoined,1
pipes,1
once,1
brought,1
its,1
tender,1
hills,1
lamb,1
beautiful,1
golden,1
fleece,1
herald,1
stood,1
stone,1
platform,1
cried,1
aloud,1
mycenaeans,1
see,1
omens,1
given,1
our,1
victors,1
garlands,1
crowns,1
twoedged,1
making,1
you,1
mournful,1
victim,1
aigisthus,1
she,1
got,1
treacherous,1
bedfellow,1
countrywomen,1
enter,1
o,1
daughter,1
agamemnon,1
rustic,1
courtyard,1
milkdrinker,1
mycenae,1
walker,1
reports,1
argives,1
proclaiming,1
sacrifice,1
third,1
day,1
now,1
all,1
heras,1
temple,1
unhappy,1
heart,1
beats,1
fast,1
friends,1
at,1
adornment,1
gold,1
nor,1
set,1
up,1
choruses,1
argos,1
long,1
ago,1
alas,1
dead,1
living,1
vagabond,1
who,1
dwells,1
another,1
land,1
somewhere,1
miserably,1
wandering,1
slaves,1
hearth,1
yet,1
born,1
renowned,1
myself,1
live,1
poor,1
mans,1
wasting,1
life,1
away,1
an,1
exile,1
fathers,1
crags,1
new,1
husband,1
makes,1
her,1
home,1
bed,1
stained,1
by,1
blood,1
leader,1
helen,1
mothers,1
sister,1
is,1
cause,1
many,1
evils,1
hellenes,1
catching,1
sight,1
orestes,1
pylades,1
ah,1
women,1
broken,1
off,1
