woord,frequency
the,45
of,21
and,16
to,14
you,11
her,7
are,7
with,7
some,6
in,6
my,6
chorus,5
or,5
mountain,5
for,5
wild,5
over,5
that,5
i,5
has,4
your,4
beasts,4
is,4
he,4
no,3
she,3
under,3
down,3
dictynna,3
holy,3
land,3
a,3
take,3
what,3
hounds,3
his,3
artemis,3
kept,2
body,2
pure,2
demeters,2
grain,2
wishing,2
because,2
secret,2
grief,2
ground,2
lifes,2
craft,2
unhappy,2
journeysend,2
death,2
god,2
possessed,2
dear,2
girl,2
do,2
wits,2
wander,2
spell,2
pan,2
hecate,2
august,2
corybantes,2
cybele,2
mother,2
being,2
worn,2
fault,2
against,2
tainted,2
failure,2
offer,2
batter,2
also,2
haunts,2
lake,2
passes,2
dry,2
stands,2
these,2
words,2
things,2
on,2
go,2
where,2
by,2
hold,2
mind,2
all,2
upon,2
have,2
seen,2
forth,2
o,2
swift,2
men,2
earth,2
sea,2
bewitches,2
three,1
days,1
now,1
mouth,1
taking,1
food,1
eddies,1
surf,1
dewy,1
spring,1
rest,1
lying,1
poplar,1
trees,1
uncut,1
meadow,1
nurse,1
child,1
yours,1
wont,1
stop,1
saying,1
such,1
before,1
crowd,1
hurling,1
mounted,1
madness,1
phaedra,1
sung,1
me,1
mean,1
wood,1
pinewood,1
kill,1
tread,1
running,1
close,1
after,1
dappled,1
deer,1
gods,1
how,1
want,1
shout,1
let,1
fly,1
past,1
golden,1
hair,1
javelin,1
thessaly,1
morrows,1
happiness,1
whole,1
life,1
through,1
longer,1
untroubled,1
but,1
beyond,1
expectation,1
look,1
we,1
greeces,1
fairest,1
star,1
him,1
sped,1
fathers,1
wrath,1
another,1
sands,1
our,1
citys,1
shore,1
thickets,1
slew,1
company,1
more,1
shall,1
mount,1
behind,1
pair,1
enetic,1
horses,1
racecourse,1
about,1
mere,1
feet,1
racing,1
steeds,1
music,1
never,1
slept,1
beneath,1
frame,1
hearts,1
manycolored,1
wings,1
surrounding,1
them,1
pinions,1
eros,1
flies,1
loudroaring,1
salt,1
one,1
whose,1
frenzied,1
darts,1
winged,1
goldgleaming,1
whelps,1
those,1
brings,1
blazing,1
sun,1
looks,1
likewise,1
mortal,1
aphrodite,1
alone,1
honored,1
sway,1
appears,1
above,1
skene,1
noblyborn,1
son,1
aegeus,1
listen,1
order,1
it,1
