woord,frequency
the,22
of,15
i,12
a,9
to,9
and,8
o,5
pan,5
where,5
creusa,5
for,4
pipes,4
you,4
in,4
tutor,4
children,3
wealth,3
it,3
have,3
with,3
rocks,3
that,3
near,3
your,3
an,3
unhappy,3
know,3
would,2
life,2
moderate,2
chorus,2
seats,2
lie,2
hollows,2
makrai,2
three,2
daughters,2
aglauros,2
dance,2
over,2
green,2
courses,2
before,2
temples,2
pallas,2
quavering,2
wail,2
songs,2
when,2
play,2
sunless,2
caves,2
maiden,2
bore,2
phoebus,2
heard,2
how,2
there,2
contest,2
what,2
ones,1
native,1
land,1
me,1
careful,1
nurture,1
dear,1
be,1
beyond,1
kings,1
palace,1
hate,1
childless,1
blame,1
one,1
whom,1
seems,1
good,1
may,1
blessed,1
child,1
exposed,1
as,1
feast,1
birds,1
bloody,1
banquet,1
wild,1
beasts,1
outrage,1
bitter,1
rape,1
neither,1
at,1
loom,1
nor,1
speeches,1
born,1
mortals,1
from,1
gods,1
claim,1
please,1
go,1
through,1
again,1
am,1
ashamed,1
old,1
man,1
yet,1
will,1
speak,1
mourn,1
generously,1
friends,1
hear,1
then,1
cave,1
north,1
cecropian,1
which,1
we,1
call,1
macrai,1
yes,1
is,1
shrine,1
altars,1
by,1
engaged,1
dreadful,1
my,1
tears,1
come,1
meet,1
words,1
unwillingly,1
formed,1
union,1
daughter,1
was,1
this,1
dont,1
but,1
tell,1
