woord,frequency
her,6
and,6
the,6
a,4
of,3
she,3
to,2
on,2
one,2
raised,2
leg,1
but,1
thereafter,1
there,1
was,1
terrible,1
sight,1
behold,1
for,1
color,1
changed,1
with,1
legs,1
trembling,1
staggered,1
back,1
sidelong,1
by,1
falling,1
chair,1
barely,1
escaped,1
collapsing,1
floor,1
old,1
woman,1
among,1
servants,1
thinking,1
i,1
suppose,1
that,1
frenzy,1
from,1
pan,1
or,1
other,1
gods,1
had,1
come,1
upon,1
festal,1
shout,1
god,1
until,1
saw,1
white,1
foam,1
coming,1
between,1
lips,1
eyes,1
starting,1
out,1
their,1
sockets,1
skin,1
all,1
pale,1
bloodless,1
then,1
indeed,1
wail,1
in,1
answer,1
