woord,frequency
the,8
your,5
are,4
you,4
where,2
of,2
and,2
hector,2
tidings,2
now,2
fear,2
can,2
with,2
army,2
what,2
lycian,1
band,1
they,1
who,1
should,1
inspect,1
victims,1
leaders,1
lightarmed,1
troops,1
phrygian,1
archers,1
string,1
horntipped,1
bows,1
inspire,1
confidence,1
nothing,1
is,1
plainly,1
set,1
forth,1
it,1
be,1
that,1
smitten,1
wild,1
by,1
pan,1
son,1
cronion,1
leaving,1
watch,1
rouse,1
does,1
noisy,1
summons,1
mean,1
i,1
say,1
bring,1
words,1
many,1
but,1
no,1
plain,1
statement,1
have,1
made,1
chorus,1
long,1
night,1
through,1
argive,1
has,1
kindled,1
fires,1
bright,1
