woord,frequency
the,433
to,276
and,248
of,226
you,218
i,200
in,127
your,116
for,114
a,106
is,106
my,103
that,87
he,82
it,82
with,78
not,77
this,76
hector,75
have,73
his,70
on,65
are,64
who,60
as,58
chorus,58
will,58
but,54
me,47
our,45
army,45
no,43
what,43
their,41
do,39
we,38
was,38
them,38
from,36
odysseus,34
us,34
all,34
him,34
at,32
come,32
be,31
by,30
then,29
they,28
now,27
or,27
when,27
so,27
son,27
night,26
has,26
shall,25
may,25
dolon,24
leader,24
did,23
if,23
horses,22
came,22
land,22
man,21
am,20
go,20
ships,20
one,20
diomedes,19
those,19
rhesus,19
thracian,18
here,18
should,18
were,17
some,17
oh,17
how,17
troy,17
allies,16
see,16
had,16
know,16
why,16
charioteer,16
upon,16
argive,16
too,15
can,15
spear,15
would,14
out,14
city,14
yes,14
great,14
long,14
slay,14
before,14
where,14
day,14
fleet,14
tell,13
such,13
o,13
hand,13
yet,13
her,13
say,13
god,13
friends,13
must,13
,12
there,12
nor,12
spy,12
up,12
men,12
does,12
against,12
away,12
set,11
enemy,11
let,11
slain,11
whom,11
watch,11
near,11
many,11
dead,10
athena,10
aeneas,10
friend,10
over,10
help,10
well,10
while,10
among,10
than,10
its,10
foe,10
fear,10
never,10
hands,9
other,9
face,9
death,9
arms,9
these,9
woe,9
achaeans,9
an,9
prince,9
made,9
after,9
take,9
good,9
way,9
die,9
find,9
mine,8
house,8
couch,8
bring,8
time,8
lord,8
coming,8
home,8
deed,8
messenger,8
paris,8
without,8
guard,8
country,8
perhaps,8
about,8
head,8
make,8
give,7
left,7
any,7
aid,7
toil,7
very,7
muse,7
done,7
phrygian,7
heard,7
off,7
cannot,7
hectors,7
through,7
zeus,7
ilium,7
troops,7
once,7
dawn,7
sleep,7
found,6
password,6
master,6
camp,6
tidings,6
sure,6
went,6
nothing,6
achilles,6
back,6
child,6
whose,6
lay,6
gone,6
heart,6
ranks,6
fair,6
muses,6
gave,6
look,6
again,6
into,6
bold,6
enough,6
might,6
sword,6
alone,6
gods,6
fathers,6
ask,6
keep,6
mother,6
words,6
thrace,6
sent,6
armor,5
learn,5
need,5
gold,5
peleus,5
mean,5
tent,5
hellas,5
word,5
rouse,5
return,5
been,5
life,5
shameful,5
station,5
light,5
since,5
fate,5
company,5
strymon,5
seems,5
fall,5
argives,5
think,5
achaean,5
barbarian,5
more,5
foes,5
side,5
every,5
fortune,5
trojan,5
right,5
river,5
mind,5
most,5
counsel,5
comes,5
send,5
blame,5
chariot,5
arm,5
hear,5
which,5
leave,5
sea,5
though,5
ah,5
beneath,5
either,4
deep,4
yours,4
fly,4
wound,4
eager,4
saw,4
front,4
luck,4
present,4
warriors,4
sorrow,4
really,4
tale,4
gloom,4
sentinels,4
course,4
already,4
bringing,4
indeed,4
catch,4
name,4
could,4
safe,4
forth,4
wild,4
foot,4
battle,4
told,4
others,4
honor,4
fitting,4
phoebus,4
two,4
enemys,4
plain,4
ambush,4
darkness,4
eye,4
brave,4
sisters,4
ever,4
myself,4
midnight,4
within,4
call,4
sons,4
task,4
neither,4
going,4
walls,4
like,4
always,4
speak,4
news,4
even,4
father,4
said,4
awake,4
hold,4
spies,4
whole,4
ready,4
own,4
turn,4
next,4
place,4
receive,4
fires,4
dark,4
till,4
tongue,4
afraid,4
low,3
daughter,3
kept,3
lies,3
curses,3
stroke,3
late,3
soil,3
orders,3
ones,3
terror,3
array,3
mans,3
lance,3
nights,3
king,3
hearts,3
drawn,3
roused,3
aboard,3
tydeus,3
another,3
flying,3
strike,3
camped,3
hereafter,3
tuneful,3
lighting,3
learned,3
knowledge,3
torches,3
care,3
plot,3
delay,3
hidden,3
fully,3
utter,3
only,3
brought,3
hark,3
caught,3
bloody,3
anchored,3
bear,3
phrygia,3
thank,3
mourn,3
reach,3
believe,3
because,3
calls,3
grief,3
nature,3
war,3
pay,3
pass,3
lest,3
hail,3
living,3
same,3
driving,3
quarters,3
priam,3
blast,3
shame,3
dear,3
true,3
theres,3
old,3
strymons,3
hard,3
scorn,3
down,3
swords,3
countless,3
clearly,3
hasten,3
across,3
slumber,3
wish,3
thieves,3
alive,3
clad,3
reward,3
await,3
favor,3
wise,3
spoils,3
carry,3
piteous,3
slaughter,3
escape,3
bound,3
clever,3
often,3
gift,3
join,3
far,3
met,3
mounted,3
point,3
gives,3
suffer,3
courage,3
flocks,3
fire,3
share,3
soul,3
ally,3
rest,3
sailed,3
she,3
just,3
beware,3
died,3
high,3
voice,3
wounded,3
enter,3
eyes,3
beyond,3
full,3
asleep,3
pleases,3
prize,3
stand,3
whenever,3
ought,3
proof,3
easy,3
sight,3
mount,3
blood,3
haunt,2
during,2
kindle,2
toils,2
address,2
repose,2
having,2
charge,2
assert,2
someone,2
safety,2
everyone,2
stratagem,2
raised,2
calamity,2
heads,2
fell,2
penalty,2
risk,2
starting,2
sovereignty,2
clash,2
special,2
under,2
ringing,2
friendship,2
part,2
suspicious,2
anguish,2
surely,2
sleeping,2
anything,2
lift,2
round,2
simois,2
blazing,2
reason,2
lot,2
shield,2
stationed,2
rejoice,2
certain,2
torch,2
stalwart,2
steadfast,2
garb,2
smitten,2
angry,2
shared,2
broke,2
heroes,2
kindling,2
approach,2
frame,2
work,2
beds,2
fresh,2
sage,2
childless,2
due,2
stay,2
except,2
signalling,2
guards,2
wait,2
loud,2
world,2
case,2
urged,2
arrival,2
spears,2
somewhere,2
kin,2
happy,2
hostile,2
quit,2
towards,2
advance,2
earnest,2
vague,2
lo,2
appointed,2
burial,2
sun,2
step,2
goddess,2
march,2
sack,2
declare,2
feet,2
welcome,2
people,2
crafty,2
orpheus,2
archers,2
says,2
took,2
reviled,2
cause,2
rout,2
reared,2
tie,2
aias,2
cease,2
grant,2
slew,2
menelaus,2
persuaded,2
engage,2
end,2
vagrant,2
justice,2
report,2
decided,2
stream,2
disturb,2
become,2
tend,2
sunlight,2
chief,2
argos,2
double,2
prey,2
ida,2
praise,2
finds,2
drive,2
achaeas,2
note,2
ares,2
close,2
cruel,2
track,2
spot,2
yourself,2
bloodstained,2
ourselves,2
serve,2
swirling,2
unless,2
appear,2
counsels,2
masters,2
wield,2
children,2
recognize,2
ill,2
marry,2
nemesis,2
victory,2
each,2
feel,2
fierce,2
murderers,2
cypris,2
sound,2
palace,2
suspect,2
struck,2
weariness,2
speech,2
youll,2
thamyris,2
carried,2
paeonian,2
cloak,2
palisades,2
gaping,2
around,2
although,2
service,2
evil,2
things,2
gates,2
mere,2
calm,2
laertes,2
whether,2
fellow,2
days,2
whoever,2
captains,2
strange,2
bereft,2
ship,2
heavens,2
idle,2
yoke,2
fray,2
called,2
slept,2
perished,2
fast,2
borders,2
harness,2
brother,2
curse,2
none,2
bid,2
destruction,2
team,2
scattered,2
conduct,2
onset,2
chiefs,2
lead,2
happen,2
dies,2
rustic,2
lightarmed,2
gilded,2
bridges,2
quest,2
naval,2
else,2
love,2
fairly,2
tide,2
rumor,2
labors,2
exit,2
gratitude,2
murdered,2
heralds,2
towers,2
still,2
apollo,2
mortals,2
joy,2
victims,2
thought,2
felt,2
native,2
bright,2
steps,2
approaching,2
cut,2
chieftains,2
nymphs,2
nine,2
haste,2
harm,2
glory,2
state,2
pangaeus,2
loudly,2
brutes,2
doubly,2
ground,2
dispute,2
strand,2
post,2
brotherinlaw,2
harry,2
lycians,2
bury,2
along,2
battles,2
lowly,2
defeat,2
wrought,2
meet,2
fifth,2
first,2
council,2
few,2
deeds,2
hearing,2
disturbed,2
given,2
secret,2
absence,2
change,2
stop,2
save,2
discover,2
speed,2
dice,2
chanced,1
loves,1
holy,1
poor,1
golden,1
farewell,1
palaces,1
succeed,1
immortal,1
stumble,1
transport,1
worth,1
fated,1
unseal,1
packed,1
illsuited,1
stars,1
tomb,1
rights,1
outlet,1
thousand,1
alarm,1
tired,1
spoke,1
pyre,1
pest,1
cousin,1
laggard,1
ruse,1
lamp,1
moonlight,1
seacoast,1
nurture,1
dawning,1
dwelt,1
sprang,1
hearken,1
agamemnons,1
craft,1
hauled,1
desires,1
heaven,1
uses,1
embassies,1
forfeit,1
schemes,1
slayer,1
fashion,1
helens,1
conditions,1
crouched,1
shelter,1
distant,1
aged,1
pat,1
mark,1
fears,1
public,1
natural,1
lycian,1
panthus,1
spread,1
troubles,1
brings,1
cross,1
racks,1
escaped,1
winged,1
tethered,1
advise,1
mourns,1
ladders,1
dearest,1
bewail,1
probably,1
icy,1
floats,1
clamorously,1
road,1
vex,1
choose,1
princes,1
sympathizes,1
leaving,1
number,1
trained,1
lore,1
got,1
furnished,1
bidding,1
hurt,1
bosom,1
gorgon,1
sacked,1
cowardly,1
brands,1
farming,1
mighty,1
priams,1
saving,1
locris,1
stayed,1
lover,1
eyelids,1
phrygians,1
decrees,1
reached,1
zeal,1
giver,1
vultures,1
clear,1
tempestuous,1
thracians,1
deliverer,1
gracious,1
seeds,1
heights,1
tatters,1
liken,1
relieves,1
stout,1
pasturelands,1
pierian,1
kinsman,1
tortured,1
plaint,1
submission,1
endure,1
fourth,1
etrurian,1
thoughtful,1
greater,1
steel,1
rightly,1
legs,1
shown,1
prevail,1
vainly,1
summons,1
shouts,1
axe,1
trenches,1
furtive,1
occasion,1
dardanians,1
mingled,1
dire,1
lurking,1
atone,1
loath,1
vow,1
leap,1
centre,1
inspire,1
wheedling,1
altars,1
gird,1
resistless,1
voices,1
victim,1
string,1
mission,1
escaping,1
entered,1
boast,1
bearing,1
wreak,1
yawning,1
ago,1
pleasure,1
wisdom,1
councillors,1
firebrand,1
survives,1
lycia,1
ruled,1
avow,1
music,1
mysias,1
reckon,1
pieces,1
apart,1
welded,1
known,1
fasten,1
bleary,1
coveted,1
earns,1
robber,1
wolves,1
advent,1
whichever,1
hopes,1
sheath,1
until,1
newly,1
ribs,1
thymbrean,1
bears,1
entrust,1
general,1
blinded,1
anothers,1
despatch,1
passing,1
slipped,1
vaunting,1
feed,1
earths,1
guiding,1
constrains,1
needed,1
allege,1
turns,1
leaves,1
guess,1
dealt,1
singer,1
treacherous,1
deathdealing,1
covet,1
lashed,1
vengeance,1
trojans,1
bard,1
fancy,1
shores,1
kingship,1
meal,1
wished,1
murderer,1
mishap,1
cast,1
sweetest,1
seagoddess,1
fountain,1
envious,1
fruitful,1
slaughtered,1
imposing,1
generals,1
rails,1
brighter,1
accent,1
universal,1
headlong,1
befalling,1
chains,1
praising,1
flashed,1
attack,1
fits,1
challenge,1
successful,1
maias,1
knew,1
middle,1
pirate,1
bride,1
islands,1
ball,1
built,1
years,1
advice,1
dulled,1
lament,1
chant,1
skill,1
heat,1
amiss,1
add,1
sleepless,1
decision,1
mothers,1
ranged,1
freedom,1
crossing,1
demeter,1
dweller,1
winecup,1
joining,1
triumphant,1
braver,1
advanced,1
dignity,1
troys,1
debtor,1
puzzle,1
opposed,1
alarmed,1
plots,1
assistance,1
forefeet,1
throne,1
draw,1
stakes,1
crouch,1
cowardice,1
lost,1
dress,1
storm,1
bewildering,1
fortunes,1
dream,1
surge,1
behold,1
dull,1
caused,1
halls,1
formerly,1
leaders,1
goes,1
fields,1
grace,1
allow,1
stealing,1
battlements,1
loyalty,1
prows,1
guest,1
win,1
prove,1
feels,1
interests,1
foemens,1
restored,1
beggars,1
crowd,1
elsewhere,1
swan,1
leaps,1
suns,1
rule,1
measured,1
throwing,1
ours,1
thanks,1
woman,1
delos,1
nightexeunt,1
aware,1
virgin,1
wonder,1
unsound,1
raze,1
silent,1
trial,1
equipment,1
frozen,1
remains,1
parching,1
sufferings,1
squires,1
clutched,1
overthrown,1
previous,1
sending,1
much,1
impale,1
arise,1
table,1
corslet,1
breathed,1
takes,1
nostrils,1
content,1
eagle,1
form,1
kindled,1
carelessly,1
handexit,1
yearly,1
draughts,1
heapedup,1
utterly,1
thymbra,1
sorry,1
common,1
perceived,1
undoing,1
allowed,1
runaways,1
stealthy,1
consider,1
worthless,1
countrys,1
wounds,1
fight,1
wolfs,1
seize,1
security,1
hindfeet,1
means,1
immortals,1
live,1
cords,1
countrymen,1
fourfooted,1
colt,1
hurricanes,1
brothers,1
ceased,1
complain,1
invasion,1
describe,1
gripping,1
withheld,1
trumpet,1
settlement,1
dappled,1
accomplished,1
standard,1
throned,1
conquered,1
lives,1
distress,1
roaming,1
sister,1
gather,1
seers,1
agamemnon,1
snow,1
past,1
seas,1
spend,1
poured,1
armorclad,1
minstrel,1
plunged,1
shines,1
frightened,1
greek,1
groans,1
veins,1
stole,1
yourselves,1
forget,1
gladly,1
threw,1
keen,1
beasts,1
awaiting,1
keeps,1
fine,1
best,1
pipes,1
passed,1
nether,1
plunder,1
coroebus,1
bitterness,1
escort,1
fumed,1
view,1
clean,1
striving,1
won,1
bursting,1
seen,1
statement,1
famed,1
panic,1
decreed,1
encase,1
graves,1
run,1
earth,1
deserted,1
amlng,1
drenching,1
mouth,1
bore,1
trench,1
maiden,1
runs,1
hung,1
captured,1
lighten,1
troubling,1
bred,1
marshal,1
targeteers,1
happened,1
unarmed,1
briefly,1
aegis,1
watches,1
veers,1
fares,1
doing,1
glorious,1
amazement,1
roadthe,1
outrage,1
entire,1
drove,1
sleepingplace,1
preserving,1
firing,1
joyful,1
fixes,1
wide,1
path,1
bivouac,1
bacchus,1
paeonias,1
snare,1
strains,1
atreidae,1
wellknown,1
restore,1
scheme,1
prayers,1
archery,1
frank,1
warnings,1
cure,1
jeers,1
chieftain,1
folk,1
raise,1
ten,1
hope,1
capacious,1
flow,1
nail,1
enterprise,1
taking,1
riders,1
dashing,1
seer,1
dullness,1
dirge,1
tricks,1
defend,1
shaft,1
unto,1
requiring,1
hint,1
villainy,1
injuries,1
hateful,1
sum,1
votaries,1
threaten,1
meets,1
phthias,1
shepherds,1
better,1
former,1
decks,1
tumultuous,1
pasturing,1
exploits,1
citizens,1
killing,1
dwell,1
gate,1
dirty,1
royal,1
lordship,1
raiment,1
check,1
chiefly,1
story,1
rain,1
calmly,1
surged,1
prospered,1
daring,1
oileus,1
yokes,1
doer,1
inglorious,1
hospitality,1
bent,1
carefully,1
soldiers,1
toasts,1
soothsayers,1
fired,1
giving,1
philammon,1
sitting,1
tricksters,1
want,1
legend,1
setting,1
versed,1
glides,1
sorrows,1
press,1
flight,1
strive,1
ashamed,1
fault,1
victorious,1
imitation,1
preparing,1
pledged,1
awoke,1
thing,1
arrayed,1
strongly,1
musaeus,1
noise,1
shieldhandle,1
thick,1
queen,1
horror,1
visit,1
undertake,1
contingent,1
mourning,1
sails,1
invitation,1
temples,1
ilian,1
bed,1
athenas,1
cub,1
honors,1
foreordained,1
plant,1
however,1
peer,1
conclave,1
atreus,1
design,1
beam,1
plainly,1
homes,1
sufficient,1
warring,1
sustenance,1
restingplace,1
revealed,1
sorer,1
stored,1
unseat,1
mysteries,1
emptying,1
springs,1
reconnoitring,1
soft,1
questioned,1
inside,1
suffering,1
captain,1
persuade,1
reckons,1
chosen,1
theirs,1
aiass,1
sages,1
ransom,1
snorted,1
wrap,1
use,1
valiant,1
riddles,1
breathe,1
supposing,1
tomorrows,1
assembled,1
rut,1
swordthrust,1
commands,1
forbade,1
ear,1
admire,1
dying,1
seek,1
list,1
rivers,1
achieve,1
rob,1
shout,1
concern,1
used,1
mercy,1
alarms,1
crossed,1
bier,1
taste,1
triumph,1
greatest,1
affords,1
pan,1
sings,1
couches,1
toilsome,1
cavern,1
enslaved,1
guiltless,1
shrine,1
trills,1
axles,1
menial,1
razing,1
comprehension,1
kind,1
wing,1
trumpets,1
gain,1
quiet,1
outside,1
seagod,1
store,1
gnawing,1
rivalry,1
hatred,1
band,1
journey,1
season,1
poseidon,1
cleared,1
plains,1
eve,1
beside,1
hostages,1
settled,1
waste,1
burn,1
illfortune,1
marshalled,1
silver,1
proper,1
slopes,1
agree,1
earliest,1
swear,1
darling,1
