woord,frequency
the,193
of,89
and,89
to,64
in,43
pan,40
is,38
that,38
was,26
he,24
dionysus,24
a,23
they,21
gods,20
son,20
be,19
it,18
him,18
this,16
were,16
athenians,16
are,15
egypt,15
as,14
i,14
have,14
when,14
heracles,14
said,14
years,14
but,13
these,13
who,12
greeks,12
one,12
had,12
them,12
about,11
no,11
with,11
philippides,11
all,10
there,10
for,10
eight,9
than,9
by,9
been,9
hundred,9
penelope,9
land,9
before,8
most,8
after,8
why,7
among,7
twelve,7
not,7
my,7
story,7
like,7
mountain,7
may,6
goodwill,6
egyptians,6
now,6
even,6
between,6
called,6
semele,6
me,6
has,6
his,6
city,6
say,5
or,5
made,5
great,5
came,5
greek,5
which,5
time,5
later,5
two,5
appeared,5
beyond,5
became,5
generals,5
sent,5
sparta,5
message,5
ask,5
things,5
from,5
those,5
many,4
whom,4
sacred,4
held,4
name,4
first,4
an,4
osiris,4
still,4
since,4
thus,4
date,4
trojan,4
war,4
regard,4
follow,4
whatever,4
thinks,4
give,4
own,4
opinion,4
concerning,4
here,4
hellas,4
men,4
plain,4
athenian,4
above,4
paid,4
attention,4
though,4
often,4
service,4
would,4
future,4
believed,4
where,4
arabia,4
only,3
how,3
so,3
much,3
goats,3
male,3
female,3
mendesians,3
their,3
such,3
more,3
hegoat,3
language,3
last,3
country,3
ancient,3
earliest,3
belongs,3
second,3
dynasty,3
socalled,3
reckoned,3
at,3
writing,3
alcmene,3
nine,3
according,3
hermes,3
parents,3
credible,3
lived,3
old,3
age,3
amphitryon,3
might,3
named,3
older,3
antiquity,3
up,3
carried,3
people,3
while,3
herald,3
longdistance,3
runner,3
calling,3
himself,3
brought,3
parthenian,3
tegea,3
encountered,3
out,3
bade,3
true,3
prosperous,3
on,3
into,3
length,3
schoeni,3
miles,3
serpents,3
backbones,3
should,2
kill,2
keep,2
heroes,2
spoken,2
sacrifice,2
reckon,2
painting,2
sculpture,2
image,2
head,2
legs,2
goat,2
thought,2
fact,2
unlike,2
other,2
district,2
egyptian,2
both,2
place,2
if,2
rule,2
horus,2
call,2
apollo,2
deposed,2
typhon,2
divine,2
king,2
youngest,2
third,2
amasis,2
claim,2
sure,2
chronicled,2
daughter,2
cadmus,2
sixteen,2
too,2
sooner,2
born,2
zeus,2
sewed,2
thigh,2
away,2
nysa,2
ethiopia,2
do,2
know,2
what,2
birth,2
names,2
established,2
precinct,2
beneath,2
acropolis,2
ever,2
propitiate,2
annual,2
sacrifices,2
torchrace,2
day,2
leaving,2
athens,2
deposit,2
far,2
sixty,2
three,2
pyramids,2
run,2
arabian,2
heliopolis,2
narrow,2
river,2
mountains,2
neighboring,2
winged,2
pass,2
ibis,2
man,1
natural,1
myriads,1
talking,1
represent,1
wish,1
consider,1
goatherds,1
special,1
estimation,1
dies,1
ordained,1
mourning,1
mendesian,1
mendes,1
lifetime,1
strange,1
thing,1
occurred,1
intercourse,1
openly,1
woman,1
publicly,1
known,1
swine,1
unclean,1
beasts,1
touches,1
hog,1
passing,1
goes,1
another,1
succession,1
supreme,1
reign,1
already,1
shown,1
earlier,1
fewest,1
fifteen,1
thousand,1
therefore,1
learned,1
others,1
trace,1
gained,1
knowledge,1
magistrates,1
lacedaemonians,1
you,1
come,1
aid,1
allow,1
hellenes,1
fall,1
slavery,1
hands,1
foreigners,1
eretria,1
enslaved,1
eleven,1
fathoms,1
shows,1
reaches,1
further,1
seacoast,1
itself,1
,1
we,1
judge,1
reaching,1
plinthinete,1
gulf,1
serbonian,1
marsh,1
under,1
casian,1
scant,1
measure,1
feet,1
parasangs,1
abundance,1
parasang,1
quarters,1
covered,1
sand,1
same,1
direction,1
hills,1
southward,1
distance,1
fourteen,1
days,1
journey,1
aforesaid,1
ranges,1
level,1
narrowest,1
seemed,1
thirty,1
libyan,1
wide,1
again,1
nature,1
myself,1
very,1
believe,1
case,1
seen,1
projects,1
sea,1
shells,1
exposed,1
view,1
coated,1
salt,1
show,1
sandy,1
memphis,1
besides,1
neither,1
nor,1
libya,1
syria,1
syrians,1
inhabit,1
seaboard,1
black,1
crumbling,1
earth,1
alluvial,1
down,1
town,1
buto,1
went,1
learn,1
arrived,1
saw,1
innumerable,1
bones,1
heaps,1
small,1
smaller,1
lay,1
scattered,1
opens,1
adjoins,1
fly,1
beginning,1
spring,1
making,1
birds,1
encounter,1
invaders,1
arabians,1
greatly,1
honored,1
appointed,1
general,1
chosen,1
