woord,frequency
the,16
you,12
that,10
of,10
in,8
and,7
was,7
a,6
to,5
or,5
messenger,5
oedipus,5
me,5
are,4
,4
your,4
it,4
him,4
his,4
my,3
laius,3
at,3
by,3
when,3
had,3
our,2
son,2
bore,2
father,2
on,2
from,2
one,2
three,2
not,2
ankles,2
hands,2
mountain,2
child,2
should,2
found,2
i,2
why,2
were,2
what,2
celebrated,1
dance,1
song,1
because,1
wellpleasing,1
prince,1
o,1
phoebus,1
whom,1
we,1
cry,1
may,1
these,1
things,1
find,1
favor,1
sight,1
choruswho,1
who,1
race,1
whose,1
years,1
many,1
wedlock,1
with,1
pan,1
mountainroaming,1
bride,1
loxias,1
for,1
dear,1
all,1
upland,1
pastures,1
perhaps,1
cyllenes,1
lord,1
bacchants,1
god,1
dweller,1
hilltops,1
received,1
newborn,1
joy,1
nymphs,1
as,1
least,1
rumor,1
goes,1
murdered,1
day,1
foreign,1
robbers,1
place,1
where,1
highways,1
meet,1
childs,1
birth,1
yet,1
days,1
past,1
pinned,1
together,1
thrown,1
others,1
remote,1
so,1
case,1
apollo,1
did,1
bring,1
pass,1
become,1
slayer,1
suffer,1
which,1
he,1
feared,1
death,1
thus,1
messages,1
seers,1
art,1
mapped,1
out,1
future,1
pay,1
came,1
anothers,1
hand,1
former,1
childlessness,1
won,1
over,1
bought,1
chance,1
gave,1
cithaerons,1
winding,1
glens,1
roaming,1
those,1
regions,1
charge,1
flocks,1
shepherd,1
vagrant,1
hireling,1
but,1
savior,1
hour,1
pain,1
took,1
arms,1
feet,1
might,1
bear,1
witness,1
ah,1
do,1
speak,1
