woord,frequency
the,619
you,456
i,387
to,375
of,363
,338
and,291
that,234
oedipus,223
in,212
a,185
not,182
my,179
me,167
is,162
he,153
for,152
have,149
this,147
it,134
from,129
will,126
with,120
your,119
but,116
what,111
was,101
as,96
are,96
be,93
his,93
no,90
do,87
who,86
on,83
if,81
man,78
creon,69
or,69
him,68
by,66
all,60
one,54
now,53
which,53
would,50
iocasta,50
own,50
then,49
chorus,49
at,48
these,47
our,47
messenger,46
so,45
has,44
land,44
when,43
come,41
had,40
did,40
tell,39
know,39
can,36
them,36
how,34
am,33
where,33
than,33
see,32
gods,32
more,32
such,31
never,31
since,31
laius,31
teiresias,30
whom,30
father,30
we,29
been,29
things,29
speak,28
here,28
god,27
may,27
house,26
us,26
servant,26
should,26
were,25
old,25
why,24
children,24
said,24
though,24
men,23
those,23
fear,23
hands,22
any,22
go,22
say,21
think,21
once,21
could,21
king,20
upon,20
before,20
must,20
there,19
they,19
life,19
some,18
way,18
long,18
good,18
nor,18
indeed,18
hear,18
she,18
her,18
words,18
city,17
time,17
mother,17
alas,17
an,17
found,16
give,16
eyes,16
child,16
still,16
most,16
alone,16
son,16
let,16
best,15
learn,15
nothing,15
well,15
find,15
like,15
into,15
might,15
came,14
even,14
oh,14
much,14
forth,14
mortal,14
myself,14
take,14
fathers,14
himself,14
lady,14
out,13
hand,13
their,13
death,13
bring,13
lord,13
bear,13
only,13
wretched,13
neither,13
first,13
yours,12
knowledge,12
yes,12
without,12
does,12
slay,12
fortune,12
against,12
just,12
make,12
sight,12
shall,11
too,11
ask,11
yet,11
other,11
deeds,11
woman,11
whose,11
polybus,11
troubles,11
deed,11
seer,11
earth,11
apollo,11
both,11
dread,11
mine,10
zeus,10
birth,10
day,10
another,10
name,10
great,10
thought,10
home,10
least,10
among,10
ever,10
within,10
yourself,10
fate,10
called,10
same,10
far,10
state,10
about,10
truth,10
dead,9
sure,9
thus,9
brought,9
soon,9
cannot,9
past,9
heart,9
bore,9
gave,9
stranger,9
true,9
wish,9
right,9
away,9
heard,9
perhaps,9
born,9
parents,9
blood,9
sent,9
look,9
having,8
mothers,8
better,8
saw,8
o,8
sake,8
live,8
care,8
speaks,8
behold,8
slain,8
phoebus,8
ah,8
thing,8
longer,8
perished,8
thebes,8
answer,8
soul,8
woe,8
seen,8
leave,8
rule,8
help,7
clear,7
under,7
dire,7
matter,7
friend,7
knows,7
years,7
three,7
light,7
gone,7
done,7
grief,7
while,7
two,7
hope,7
again,7
pain,7
people,7
evil,7
slayer,7
seek,7
reveal,7
made,7
rather,7
send,7
doom,7
suffer,7
friends,7
town,7
master,7
full,7
place,7
get,6
accursed,6
charge,6
second,6
voice,6
herdsman,6
word,6
cast,6
skill,6
mean,6
corinth,6
call,6
set,6
unhappy,6
search,6
husband,6
grant,6
others,6
cithaeron,6
terrible,6
enters,6
therefore,6
suppliants,6
anger,6
story,6
want,6
pity,6
bed,6
days,6
whoever,6
wise,6
anyone,6
slave,6
counsel,6
lead,6
after,6
blind,6
seeking,6
through,6
pray,6
knew,6
wife,6
show,6
woes,6
noble,6
rest,6
order,6
many,6
stand,6
desire,6
false,6
poor,5
cries,5
ones,5
part,5
anything,5
trouble,5
went,5
ago,5
until,5
learned,5
present,5
ruin,5
touch,5
power,5
back,5
dark,5
happiness,5
oracle,5
age,5
sane,5
lives,5
end,5
become,5
double,5
near,5
pastures,5
down,5
clearly,5
because,5
whether,5
enough,5
surely,5
every,5
always,5
mind,5
course,5
news,5
curse,5
also,5
love,5
met,5
murder,5
doomed,5
race,5
seeing,5
laid,5
marriage,5
creons,5
pass,5
oracles,5
labdacus,5
given,5
put,5
golden,4
judge,4
affairs,4
mouth,4
ills,4
feet,4
powers,4
comfort,4
none,4
altars,4
left,4
known,4
strength,4
flight,4
angry,4
understand,4
tale,4
offspring,4
quickly,4
proved,4
service,4
face,4
struck,4
already,4
over,4
event,4
happy,4
allow,4
ground,4
